id,year,bmCode,companyType,bmCompanyName,completedDate,listingDate,delistingDate,industryId,secondIndustryId,firstClassificationId,secondClassificationId,secondClassification,firstClassification,secondIndustry,industry,province,city,area,exchange,plate,ownership,multipleList,isResult,country,isDelete,companyStatusType,createTime,updateTime
2,2022,2,国外,长禾盛房地产开发发展公司,,,,,,0,0,,,住宅,房地产业,Ontario,Frankfurt,,TSE,,,0,1,日本,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
4,2022,4,国外,招晋昌通信股份公司,,,,,,0,0,,,软件和信息技术服务,信息传输、软件和信息技术服务业,Ontario,Toronto,,LSE,Growth,,0,1,,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
5,2022,5,国外,十控泽传媒发展公司,,,,,,0,0,,,水利、环境和公共设施管理业,水利、环境和公共设施管理业,California,Frankfurt,,LSE,Growth,,0,1,日本,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
10,2022,10,国外,盛锦联通信公司,,,,,,0,0,,,土木工程,建筑业,England,London,,TSX,Standard,,0,1,新加坡,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
11,2022,11,国外,润控航水务股份公司,,,,,,0,0,,,住宅,房地产业,Tokyo,Singapore,,NASDAQ,NASDAQ Global Select,,0,1,,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
18,2022,17,国外,远锦盛集成电路公司,,,,,,0,0,,,住宅,房地产业,Zurich,Singapore,,SGX,Prime,,0,1,新加坡,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
21,2022,200018,国外,冀芯骏财富管理有限公司,,,,,,0,0,,,建筑装饰,,Bavaria,New York,,TSE,NASDAQ Global Select,,0,1,日本,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
22,2022,19,国外,联园泽新能源汽车股份公司,,,,,,0,0,,,批发业,批发和零售业,Tokyo,Sydney,,NASDAQ,NASDAQ Global Select,,0,1,,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
26,2022,21,国外,盛泽盛水务科技公司,,,,,,0,0,,,物业管理,房地产业,Tokyo,,,LSE,Main Board,,0,1,,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
27,2022,22,国外,万白盛电子有限公司,,,,,,0,0,,,交通运输,,England,Frankfurt,,NASDAQ,Prime,,0,1,,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
