id,year,bmCode,companyType,bmCompanyName,completedDate,listingDate,delistingDate,industryId,secondIndustryId,firstClassificationId,secondClassificationId,secondClassification,firstClassification,secondIndustry,industry,province,city,area,exchange,plate,ownership,multipleList,isResult,country,isDelete,companyStatusType,createTime,updateTime
3,2022,200002,国外,比阳澜实业股份公司,,,,,,0,0,,,房地产,,,Toronto,,NYSE,,,0,1,德国,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
6,2022,6,国外,冀会润水电有限公司,,,,,,0,0,,,住宅,房地产业,New South Wales,Sydney,,LSE,Standard,,0,1,英国,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
8,2022,8,国外,十环拓批发股份公司,,,,,,0,0,,,铁路,铁路、船舶、航空航天和其他运输设备制造业,Zurich,Frankfurt,,NASDAQ,Growth,,0,1,英国,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
14,2022,200012,国外,启锦泽医药公司,,,,,,0,0,,,建筑材料,,Zurich,Sydney,,LSE,NASDAQ Global Select,,0,1,英国,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
15,2022,14,国外,科能迈水务发展公司,,,,,,0,0,,,住宅,房地产业,,Toronto,,LSE,Main Board,,0,1,德国,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
16,2022,16,国外,星酷骏贸易控股公司,,,,,,0,0,,,电子元件及设备,消费电子及电气业,California,New York,,TSX,Prime,,0,1,英国,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
17,2022,200016,国外,远能瀚房地产开发科技公司,,,,,,0,0,,,家用电器,,Tokyo,Toronto,,NYSE,Growth,,0,1,德国,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
19,2022,200017,国外,华城创环境科技科技公司,,,,,,0,0,,,汽车,,New South Wales,,,XETRA,Prime,,0,1,英国,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
24,2022,20,国外,物园科传媒集团公司,,,,,,0,0,,,软件和信息技术服务,信息传输、软件和信息技术服务业,Ontario,Toronto,,TSE,Growth,,0,1,德国,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
25,2022,200020,国外,润盈拓电子股份公司,,,,,,0,0,,,电子,,New South Wales,London,,SGX,Standard,,0,1,德国,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
29,2022,23,国外,新酷联水电科技公司,,,,,,0,0,,,水泥制品业,非金属矿物制品业,England,Sydney,,TSX,Standard,,0,1,法国,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
31,2022,200024,国外,瑞业源新能源汽车公司,,,,,,0,0,,,房地产,,Zurich,,,XETRA,,,0,1,德国,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
38,2022,200028,国外,联会禾批发发展公司,,,,,,0,0,,,医药生物,,,Sydney,,TSX,Growth,,0,1,德国,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
40,2022,200029,国外,冀澜拓数据服务科技公司,,,,,,0,0,,,房地产,,Zurich,Singapore,,SGX,,,0,1,法国,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
41,2022,30,国外,联泽盛建设开发股份公司,,,,,,0,0,,,汽车零部件制造业,汽车制造业,England,London,,TSX,NASDAQ Global Select,,0,1,德国,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
44,2022,32,国外,明晋迈建筑设计科技公司,,,,,,0,0,,,软件和信息技术服务,信息传输、软件和信息技术服务业,Bavaria,,,ASX,Growth,,0,1,德国,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
47,2022,35,国外,比尹源城市发展控股公司,,,,,,0,0,,,水利、环境和公共设施管理业,水利、环境和公共设施管理业,,New York,,SGX,NASDAQ Global Select,,0,1,英国,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
58,2022,200045,国外,众海置新材料股份公司,,,,,,0,0,,,电子,,England,London,,ASX,Prime,,0,1,英国,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
60,2022,48,国外,远通启综合开发发展公司,,,,,,0,0,,,纺织鞋服业,纺织鞋服业,England,,,XETRA,Main Board,,0,1,德国,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
61,2022,49,国外,冀通泽置业科技公司,,,,,,0,0,,,电池制造业,商业电气机械和器材制造业,California,Tokyo,,ASX,Growth,,0,1,法国,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
64,2022,200055,国外,冀盈源金融有限公司,,,,,,0,0,,,建筑装饰,,Tokyo,New York,,,Main Board,,0,1,英国,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
65,2022,56,国外,瑞泽澜新能源汽车公司,,,,,,0,0,,,商务服务业,租赁和商务服务业,England,Tokyo,,NASDAQ,NASDAQ Global Select,,0,1,德国,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
71,2022,61,国外,润课置贸易科技公司,,,,,,0,0,,,商务服务业,租赁和商务服务业,Ontario,New York,,,Growth,,0,1,法国,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
77,2022,69,国外,科业拓贸易控股公司,,,,,,0,0,,,商业地产,房地产业,Zurich,New York,,SGX,Standard,,0,1,德国,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
78,2022,70,国外,润桥瀚金融控股公司,,,,,,0,0,,,通信传输设备业,通信传输设备业,Ontario,New York,,XETRA,Prime,,0,1,德国,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
88,2022,153,国外,润达置新能源汽车科技公司,,,,,,0,0,,,制药,医药制造业,England,Toronto,,NYSE,Standard,,0,1,英国,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
90,2022,156,国外,明桥瀚房地产开发股份公司,,,,,,0,0,,,文化、体育和娱乐业,文化、体育和娱乐业,Bavaria,Singapore,,NASDAQ,Standard,,0,1,德国,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
91,2022,157,国外,北泽盛金融公司,,,,,,0,0,,,其他专用设备制造业,专用设备制造业,,Toronto,,NASDAQ,Prime,,0,1,英国,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
93,2022,159,国外,北锦昌批发公司,,,,,,0,0,,,批发业,批发和零售业,New South Wales,Frankfurt,,SGX,Main Board,,0,1,英国,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
95,2022,400,国外,恒澜昌连锁发展公司,,,,,,0,0,,,互联网和相关服务,信息传输、软件和信息技术服务业,Zurich,London,,LSE,Prime,,0,1,德国,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
97,2022,402,国外,远通置化工有限公司,,,,,,0,0,,,商业地产,房地产业,,Frankfurt,,,,,0,1,英国,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
