id,year,bmCode,companyType,bmCompanyName,completedDate,listingDate,delistingDate,industryId,secondIndustryId,firstClassificationId,secondClassificationId,secondClassification,firstClassification,secondIndustry,industry,province,city,area,exchange,plate,ownership,multipleList,isResult,country,isDelete,companyStatusType,createTime,updateTime
1,2022,1,国外,碧通创置业公司,,,,,,0,0,,,银行,金融业,Zurich,Sydney,,LSE,,,0,1,美国,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
7,2022,7,国外,万锦泽房地产开发集团公司,,,,,,0,0,,,商业地产,房地产业,New South Wales,New York,,NASDAQ,NASDAQ Global Select,,0,1,加拿大,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
9,2022,9,国外,凯禾创贸易发展公司,,,,,,0,0,,,综合,综合,California,Frankfurt,,XETRA,NASDAQ Global Select,,0,1,加拿大,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
13,2022,12,国外,十晋泽传媒集团公司,,,,,,0,0,,,玻璃制品业,非金属矿物制品业,New South Wales,Tokyo,,NASDAQ,Standard,,0,1,加拿大,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
20,2022,18,国外,明澜联金融控股公司,,,,,,0,0,,,建筑装饰,,England,Toronto,,NASDAQ,Standard,,0,1,加拿大,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
39,2022,29,国外,长达科软件公司,,,,,,0,0,,,物业管理,房地产业,New South Wales,New York,,LSE,Standard,,0,1,加拿大,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
46,2022,34,国外,比控盛连锁科技公司,,,,,,0,0,,,物业管理,房地产业,England,Tokyo,,NYSE,Standard,,0,1,美国,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
50,2022,200037,国外,新环科数据服务集团公司,,,,,,0,0,,,公用事业,,Bavaria,Tokyo,,TSE,,,0,1,美国,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
52,2022,39,国外,众芯迈环境科技发展公司,,,,,,0,0,,,零售业,批发和零售业,Ontario,Singapore,,TSX,Main Board,,0,1,加拿大,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
62,2022,50,国外,恒锦锦新能源汽车科技公司,,,,,,0,0,,,电子元件及设备,消费电子及电气业,Tokyo,Toronto,,XETRA,Growth,,0,1,美国,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
63,2022,55,国外,冀尹创新材料集团公司,,,,,,0,0,,,金属制品业,金属制品业,New South Wales,Singapore,,SGX,,,0,1,美国,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
67,2022,58,国外,盛阳源电器发展公司,,,,,,0,0,,,商务服务业,租赁和商务服务业,Ontario,New York,,LSE,Main Board,,0,1,美国,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
69,2022,59,国外,绿通迈化工有限公司,,,,,,0,0,,,石油加工、炼焦和核燃料加工业,石油加工、炼焦和核燃料加工业,Zurich,Sydney,,XETRA,Growth,,0,1,美国,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
72,2022,62,国外,润控科贸易科技公司,,,,,,0,0,,,批发业,批发和零售业,Tokyo,Sydney,,LSE,Standard,,0,1,加拿大,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
74,2022,65,国外,花海源化工科技公司,,,,,,0,0,,,煤炭开采业,采矿业,Tokyo,,,NASDAQ,NASDAQ Global Select,,0,1,美国,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
82,2022,90,国外,冀盈盛建筑设计股份公司,,,,,,0,0,,,电力热力生产和供应业,电力、热力、燃气及水生产和供应业,,Tokyo,,NASDAQ,Standard,,0,1,加拿大,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
87,2022,151,国外,万桥盛贸易发展公司,,,,,,0,0,,,批发业,批发和零售业,England,Sydney,,TSX,NASDAQ Global Select,,0,1,美国,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
96,2022,401,国外,明工锦水电股份公司,,,,,,0,0,,,医疗保健,医药制造业,Zurich,Toronto,,NYSE,Main Board,,0,1,美国,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
98,2022,403,国外,十桥泽财富管理发展公司,,,,,,0,0,,,印刷和记录媒介复制业,印刷和记录媒介复制业,New South Wales,New York,,TSX,Standard,,0,1,加拿大,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
99,2022,404,国外,招控置实业发展公司,,,,,,0,0,,,通用设备制造业,通用设备制造业,Tokyo,Frankfurt,,ASX,,,0,1,加拿大,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
101,2022,408,国外,长新联新能源汽车有限公司,,,,,,0,0,,,化工原料,化学原料和化学制品制造业,Bavaria,,,NYSE,,,0,1,美国,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
102,2022,409,国外,十尹锦财富管理控股公司,,,,,,0,0,,,软件和信息技术服务,信息传输、软件和信息技术服务业,England,Frankfurt,,LSE,Main Board,,0,1,加拿大,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
103,2022,410,国外,冀盈科集成电路公司,,,,,,0,0,,,商业地产,房地产业,England,Sydney,,NASDAQ,,,0,1,加拿大,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
104,2022,411,国外,科会源连锁公司,,,,,,0,0,,,食品业,食品饮料业,New South Wales,,,NASDAQ,Standard,,0,1,加拿大,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
105,2022,413,国外,润锦盛电器有限公司,,,,,,0,0,,,电子元件及设备,消费电子及电气业,California,New York,,ASX,Standard,,0,1,美国,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
112,2022,419,国外,瑞通科医药股份公司,,,,,,0,0,,,商务服务业,租赁和商务服务业,Tokyo,Toronto,,TSE,Growth,,0,1,美国,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
114,2022,421,国外,远芯昌金融公司,,,,,,0,0,,,燃气生产和供应业,电力、热力、燃气及水生产和供应业,Bavaria,London,,ASX,NASDAQ Global Select,,0,1,加拿大,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
117,2022,425,国外,冀海锦城市发展控股公司,,,,,,0,0,,,汽车零部件制造业,汽车制造业,Tokyo,Sydney,,XETRA,,,0,1,美国,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
119,2022,428,国外,凯业拓城市发展控股公司,,,,,,0,0,,,多元金融,金融业,Bavaria,Singapore,,NYSE,Main Board,,0,1,美国,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
124,2022,200488,国外,北白泽金融发展公司,,,,,,0,0,,,轻工制造,,Tokyo,,,,Growth,,0,1,加拿大,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
139,2022,514,国外,万尹置实业科技公司,,,,,,0,0,,,住宅,房地产业,England,,,XETRA,Standard,,0,1,加拿大,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
149,2022,523,国外,冀晋昌连锁控股公司,,,,,,0,0,,,日化产品,化学原料和化学制品制造业,Zurich,Tokyo,,NASDAQ,Main Board,,0,1,加拿大,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
151,2022,525,国外,北澜泽传媒公司,,,,,,0,0,,,陆路交通运输业,交通运输、仓储和邮政业,Bavaria,Tokyo,,ASX,,,0,1,美国,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
156,2022,530,国外,科盈远建设开发公司,,,,,,0,0,,,通用设备制造业,通用设备制造业,California,Frankfurt,,TSX,Main Board,,0,1,加拿大,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
160,2022,533,国外,明会智房地产开发集团公司,,,,,,0,0,,,电机制造业,商业电气机械和器材制造业,Bavaria,,,SGX,Main Board,,0,1,美国,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
168,2022,541,国外,万城盛房地产开发有限公司,,,,,,0,0,,,电子元件及设备,消费电子及电气业,England,Toronto,,TSE,Standard,,0,1,加拿大,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
176,2022,549,国外,碧源拓贸易科技公司,,,,,,0,0,,,交运设备,,Tokyo,Sydney,,TSE,,,0,1,美国,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
