id,year,bmCode,companyType,bmCompanyName,completedDate,listingDate,delistingDate,industryId,secondIndustryId,firstClassificationId,secondClassificationId,secondClassification,firstClassification,secondIndustry,industry,province,city,area,exchange,plate,ownership,multipleList,isResult,country,isDelete,companyStatusType,createTime,updateTime
12,2022,200011,国外,凯新科生物科技有限公司,,,,,,0,0,,,房地产,,,,,ASX,Growth,,0,1,澳大利亚,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
23,2022,200019,国外,恒环创环境科技股份公司,,,,,,0,0,,,食品饮料,,,New York,,ASX,NASDAQ Global Select,,0,1,澳大利亚,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
33,2022,200025,国外,华车创水电科技公司,,,,,,0,0,,,汽车,,Bavaria,Frankfurt,,TSX,,,0,1,澳大利亚,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
35,2022,200026,国外,碧控盛新能源汽车控股公司,,,,,,0,0,,,轻工制造,,,Singapore,,XETRA,Standard,,0,1,澳大利亚,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
36,2022,27,国外,远能远房地产开发科技公司,,,,,,0,0,,,电力热力生产和供应业,电力、热力、燃气及水生产和供应业,California,London,,SGX,Growth,,0,1,澳大利亚,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
49,2022,37,国外,冀阳昌能源控股公司,,,,,,0,0,,,电力热力生产和供应业,电力、热力、燃气及水生产和供应业,Zurich,Singapore,,XETRA,,,0,1,澳大利亚,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
53,2022,200039,国外,新盈置房地产开发股份公司,,,,,,0,0,,,机械设备,,Zurich,Sydney,,TSE,Growth,,0,1,澳大利亚,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
54,2022,40,国外,新新科电器集团公司,,,,,,0,0,,,电力热力生产和供应业,电力、热力、燃气及水生产和供应业,,London,,SGX,Standard,,0,1,澳大利亚,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
56,2022,43,国外,众禾航生物科技集团公司,,,,,,0,0,,,房地产,,Ontario,Tokyo,,NASDAQ,Standard,,0,1,澳大利亚,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
68,2022,200058,国外,远通澜水电控股公司,,,,,,0,0,,,商业贸易,,,Singapore,,XETRA,Prime,,0,1,澳大利亚,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
76,2022,68,国外,联白景传媒控股公司,,,,,,0,0,,,其他科研技术服务,科学研究和技术服务业,Bavaria,,,,NASDAQ Global Select,,0,1,澳大利亚,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
89,2022,155,国外,保芯瀚环境科技发展公司,,,,,,0,0,,,电力热力生产和供应业,电力、热力、燃气及水生产和供应业,New South Wales,Tokyo,,SGX,,,0,1,澳大利亚,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
106,2022,200413,国外,星澜景批发发展公司,,,,,,0,0,,,电子,,Zurich,Frankfurt,,,Standard,,0,1,澳大利亚,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
127,2022,502,国外,招海创玻璃有限公司,,,,,,0,0,,,房地产,,Zurich,Sydney,,,Main Board,,0,1,澳大利亚,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
141,2022,516,国外,万锦泰生物科技控股公司,,,,,,0,0,,,卫生和社会工作,卫生和社会工作,England,Frankfurt,,TSX,Main Board,,0,1,澳大利亚,0,0,23/3/2026 09:32:16,23/3/2026 09:32:16
