id,industryId,industry,targetName,targetUnit,value,createTime,updateTime,year
1,0,全行业,企业总数,,6895,12/9/2025 10:26:13,5/11/2025 08:56:03,2022
2,7,金融业,金融业企业数量,,297,12/9/2025 10:26:13,12/9/2025 10:26:13,2022
3,4,房地产业,房地产业企业数量,,295,12/9/2025 10:26:13,12/9/2025 10:26:13,2022
4,3,信息传输、软件和信息技术服务业,信息传输、软件和信息技术服务业企业数量,,644,12/9/2025 10:26:13,12/9/2025 10:26:13,2022
5,28,水利、环境和公共设施管理业,水利、环境和公共设施管理业企业数量,,104,12/9/2025 10:26:13,12/9/2025 10:26:13,2022
6,27,铁路、船舶、航空航天和其他运输设备制造业,铁路、船舶、航空航天和其他运输设备制造业企业数量,,99,12/9/2025 10:26:14,12/9/2025 10:26:14,2022
7,24,综合,综合企业数量,,34,12/9/2025 10:26:14,12/9/2025 10:26:14,2022
8,16,建筑业,建筑业企业数量,,148,12/9/2025 10:26:14,12/9/2025 10:26:14,2022
9,22,非金属矿物制品业,非金属矿物制品业企业数量,,125,12/9/2025 10:26:14,12/9/2025 10:26:14,2022
10,6,消费电子及电气业,消费电子及电气业企业数量,,358,12/9/2025 10:26:14,12/9/2025 10:26:14,2022
11,41,文教、工美、体育和娱乐用品制造业,文教、工美、体育和娱乐用品制造业企业数量,,39,12/9/2025 10:26:14,12/9/2025 10:26:14,2022
12,9,批发和零售业,批发和零售业企业数量,,273,12/9/2025 10:26:14,12/9/2025 10:26:14,2022
13,19,半导体业,半导体业企业数量,,172,12/9/2025 10:26:14,12/9/2025 10:26:14,2022
14,13,电力、热力、燃气及水生产和供应业,电力、热力、燃气及水生产和供应业企业数量,,189,12/9/2025 10:26:14,12/9/2025 10:26:14,2022
15,12,汽车制造业,汽车制造业企业数量,,230,12/9/2025 10:26:14,12/9/2025 10:26:14,2022
16,26,金属制品业,金属制品业企业数量,,114,12/9/2025 10:26:14,12/9/2025 10:26:14,2022
17,10,食品饮料业,食品饮料业企业数量,,247,12/9/2025 10:26:14,12/9/2025 10:26:14,2022
18,8,商业电气机械和器材制造业,商业电气机械和器材制造业企业数量,,320,12/9/2025 10:26:14,12/9/2025 10:26:14,2022
19,20,租赁和商务服务业,租赁和商务服务业企业数量,,111,12/9/2025 10:26:15,12/9/2025 10:26:15,2022
20,45,石油加工、炼焦和核燃料加工业,石油加工、炼焦和核燃料加工业企业数量,,21,12/9/2025 10:26:15,12/9/2025 10:26:15,2022
21,29,金属冶炼和压延加工业,金属冶炼和压延加工业企业数量,,145,12/9/2025 10:26:15,12/9/2025 10:26:15,2022
22,21,通信传输设备业,通信传输设备业企业数量,,120,12/9/2025 10:26:15,12/9/2025 10:26:15,2022
23,30,科学研究和技术服务业,科学研究和技术服务业企业数量,,127,12/9/2025 10:26:15,12/9/2025 10:26:15,2022
24,17,交通运输、仓储和邮政业,交通运输、仓储和邮政业企业数量,,176,12/9/2025 10:26:15,12/9/2025 10:26:15,2022
25,1,医药制造业,医药制造业企业数量,,449,12/9/2025 10:26:15,12/9/2025 10:26:15,2022
26,33,文化、体育和娱乐业,文化、体育和娱乐业企业数量,,88,12/9/2025 10:26:15,12/9/2025 10:26:15,2022
27,5,专用设备制造业,专用设备制造业企业数量,,447,12/9/2025 10:26:15,12/9/2025 10:26:15,2022
28,43,化学纤维制造业,化学纤维制造业企业数量,,34,12/9/2025 10:26:15,12/9/2025 10:26:15,2022
29,18,通用设备制造业,通用设备制造业企业数量,,213,12/9/2025 10:26:15,12/9/2025 10:26:15,2022
30,2,化学原料和化学制品制造业,化学原料和化学制品制造业企业数量,,364,12/9/2025 10:26:15,12/9/2025 10:26:15,2022
31,14,采矿业,采矿业企业数量,,143,12/9/2025 10:26:16,12/9/2025 10:26:16,2022
32,37,住宿和餐饮业,住宿和餐饮业企业数量,,35,12/9/2025 10:26:16,12/9/2025 10:26:16,2022
33,15,纺织鞋服业,纺织鞋服业企业数量,,177,12/9/2025 10:26:16,12/9/2025 10:26:16,2022
34,36,造纸和纸制品业,造纸和纸制品业企业数量,,51,12/9/2025 10:26:16,12/9/2025 10:26:16,2022
35,35,卫生和社会工作,卫生和社会工作企业数量,,29,12/9/2025 10:26:16,12/9/2025 10:26:16,2022
36,31,教育,教育企业数量,,60,12/9/2025 10:26:16,12/9/2025 10:26:16,2022
37,34,农、林、牧、渔业,农、林、牧、渔业企业数量,,50,12/9/2025 10:26:16,12/9/2025 10:26:16,2022
38,23,橡胶和塑料制品业,橡胶和塑料制品业企业数量,,107,12/9/2025 10:26:16,12/9/2025 10:26:16,2022
39,38,家具制造业,家具制造业企业数量,,43,12/9/2025 10:26:16,12/9/2025 10:26:16,2022
40,39,印刷和记录媒介复制业,印刷和记录媒介复制业企业数量,,33,12/9/2025 10:26:16,12/9/2025 10:26:16,2022
41,46,废弃资源综合利用业,废弃资源综合利用业企业数量,,27,12/9/2025 10:26:16,12/9/2025 10:26:16,2022
42,47,木材加工和木、竹、藤、棕、草制品业,木材加工和木、竹、藤、棕、草制品业企业数量,,11,12/9/2025 10:26:16,12/9/2025 10:26:16,2022
43,32,仪器仪表制造业,仪器仪表制造业企业数量,,89,12/9/2025 10:26:16,12/9/2025 10:26:16,2022
44,25,其他制造业,其他制造业企业数量,,53,12/9/2025 10:26:16,12/9/2025 10:26:16,2022
45,48,居民服务、修理和其他服务业,居民服务、修理和其他服务业企业数量,,4,12/9/2025 10:26:16,12/9/2025 10:26:16,2022
46,0,全行业,深交所企业数量,,2728,12/9/2025 10:26:16,5/11/2025 08:56:03,2022
47,0,全行业,港交所企业数量,,1849,12/9/2025 10:26:16,5/11/2025 08:56:03,2022
48,0,全行业,北交所企业数量,,162,12/9/2025 10:26:16,5/11/2025 08:56:03,2022
49,0,全行业,上交所企业数量,,2156,12/9/2025 10:26:16,5/11/2025 08:56:03,2022
50,7,金融业,金融业-民营企业企业数量,,112,12/9/2025 10:26:17,12/9/2025 10:26:17,2022
51,4,房地产业,房地产业-地方国有企业企业数量,,76,12/9/2025 10:26:17,12/9/2025 10:26:17,2022
52,3,信息传输、软件和信息技术服务业,信息传输、软件和信息技术服务业-民营企业企业数量,,517,12/9/2025 10:26:17,12/9/2025 10:26:17,2022
53,28,水利、环境和公共设施管理业,水利、环境和公共设施管理业-民营企业企业数量,,69,12/9/2025 10:26:17,12/9/2025 10:26:17,2022
54,4,房地产业,房地产业-民营企业企业数量,,148,12/9/2025 10:26:17,12/9/2025 10:26:17,2022
55,27,铁路、船舶、航空航天和其他运输设备制造业,铁路、船舶、航空航天和其他运输设备制造业-中央国有企业企业数量,,42,12/9/2025 10:26:17,12/9/2025 10:26:17,2022
56,24,综合,综合-民营企业企业数量,,21,12/9/2025 10:26:17,12/9/2025 10:26:17,2022
57,16,建筑业,建筑业-民营企业企业数量,,75,12/9/2025 10:26:17,12/9/2025 10:26:17,2022
58,22,非金属矿物制品业,非金属矿物制品业-民营企业企业数量,,80,12/9/2025 10:26:17,12/9/2025 10:26:17,2022
59,6,消费电子及电气业,消费电子及电气业-中央国有企业企业数量,,13,12/9/2025 10:26:17,12/9/2025 10:26:17,2022
60,41,文教、工美、体育和娱乐用品制造业,文教、工美、体育和娱乐用品制造业-民营企业企业数量,,33,12/9/2025 10:26:17,12/9/2025 10:26:17,2022
61,9,批发和零售业,批发和零售业-地方国有企业企业数量,,65,12/9/2025 10:26:17,12/9/2025 10:26:17,2022
62,6,消费电子及电气业,消费电子及电气业-民营企业企业数量,,269,12/9/2025 10:26:17,12/9/2025 10:26:17,2022
