"id","industryId","industry","targetName","value","createTime","updateTime","year","province"
"1",,,"发布政策数量","602","17/9/2025 11:04:50","17/9/2025 11:04:50","2022",
"2",,,"国务院政策政策数量","23","17/9/2025 11:04:50","17/9/2025 11:04:50","2022",
"3",,,"地方政策政策数量","392","17/9/2025 11:04:50","17/9/2025 11:04:50","2022",
"4",,,"部委政策政策数量","187","17/9/2025 11:04:50","17/9/2025 11:04:50","2022",
"5",,,"工业和信息化部办公厅发布政策数量","27","17/9/2025 11:04:50","17/9/2025 11:04:50","2022",
"6",,,"国务院国有资产监督管理委员会办公厅发布政策数量","1","17/9/2025 11:04:50","17/9/2025 11:04:50","2022",
"7",,,"国家市场监督管理总局办公厅发布政策数量","3","17/9/2025 11:04:51","17/9/2025 11:04:51","2022",
"8",,,"国家知识产权局办公室发布政策数量","6","17/9/2025 11:04:51","17/9/2025 11:04:51","2022",
"9",,,"中共中央办公厅发布政策数量","5","17/9/2025 11:04:51","17/9/2025 11:04:51","2022",
"10",,,"国务院办公厅发布政策数量","12","17/9/2025 11:04:51","17/9/2025 11:04:51","2022",
"11",,,"安徽省人民政府发布政策数量","5","17/9/2025 11:04:51","17/9/2025 11:04:51","2022",
"12",,,"安徽省人民政府办公厅发布政策数量","4","17/9/2025 11:04:51","17/9/2025 11:04:51","2022",
"13",,,"山东省人民政府办公厅发布政策数量","9","17/9/2025 11:04:51","17/9/2025 11:04:51","2022",
"14",,,"湖南省人民政府办公厅发布政策数量","3","17/9/2025 11:04:51","17/9/2025 11:04:51","2022",
"15",,,"宁夏回族自治区人民政府办公厅发布政策数量","2","17/9/2025 11:04:51","17/9/2025 11:04:51","2022",
"16",,,"山西省工业和信息化厅发布政策数量","2","17/9/2025 11:04:51","17/9/2025 11:04:51","2022",
"17",,,"江西省政府办公厅发布政策数量","2","17/9/2025 11:04:51","17/9/2025 11:04:51","2022",
"18",,,"山东省工业和信息化厅发布政策数量","3","17/9/2025 11:04:51","17/9/2025 11:04:51","2022",
