id,bmCode,year,hasRun,bmCoreVieContent,isDelete,createTime,updateTime
16058,764661,2022,1,以山安泽医疗科技公司    三、核心竞争力分析 （一）微生态活菌产品业务 1、公司深耕微生态领域30年，形成扎实的技术沉淀。具有高标准生产质量体系，拥有国内先 进的发酵、冻干、压片、泡罩等制药机械设备，建有国内活菌药品行业自动化程度较高、规模最大 的标准化GMP厂房，建立了严格的药品生产质量管理体系；拥有一支经验丰富的专业化微生态药品 研发与生产技术工匠团队，建立了国内领先的微生态制剂菌种库，拥有先进的菌株筛选和菌种储存 技术；拥有自主知识产权，承担多项国家级研发项目，获得多项科技成果及奖励。 2、公司拥有覆盖全国的全渠道营销体系，成熟的商业转化能力。构建了处方药、OTC药品、保 健食品等大健康产品三大营销赛道；与中国医药集团、华润医药商业集团、上海医药集团、九州通 医药集团和广州医药等头部商业公司深度合作；与全国 3000 多家等级医院、10 万余家终端社会药以山安泽医疗科技公司(编号：764661)2022年年度报告全文 12 房建立了合作；拥有一支超过千人的临床、OTC 零售、执业药师、新零售终端学术推广和商务专业 化队伍。 3、公司拥有丰富的专家资源和长期的科学循证研究。构建起了全国三级学术体系，与中华医学 会、中国医师协会、中华预防医学会、中国药师协会、中国药学会等学术团体建立了合作关系，开 展各种国家级、省市级和医院级的学术活动；与国内知名三甲医院专家、综合性大学和微生物研究 所教授进行深度科研合作；开展了大量的循证研究，与中国人民解放军总医院、北京协和医院、四 川大学华西医院、中山大学附属第一医院、复旦大学附属妇产科医院、华中科技大学同济医学院附 属协和医院等众多国内知名三甲医院开展“金双歧”和“定君生”两款产品临床研究，推动微生态 诊疗方案进入到行业共识和学科指南，参与由中华医学会发起的“妇产科感染性疾病规范化诊治推 广项目”。 （二）高温合金业务 公司是国内唯一具备从高温合金材料研发到部件制备全流程研制能力的民营企业。公司高温合 金核心团队由多位曾在航空发动机、燃气轮机产业从事材料科学与工程应用研究的高端人才组成， 形成了目前我国高温合金领域为数不多达到国际一流水平的航空发动机高温合金材料及其应用的 研发团队，并结合了国内知名高校的骨干研发成员，其成员均为高温合金相关专业的博士、硕士等。 公司现已形成完整的研发检测体系，拥有从母合金熔炼、粉末制备、铸造成型、产品理化性能 检测的全套设备；已完成了多项关键技术攻关，开发了多项具有自主知识产权的高温合金材料，取 得高温合金业务相关的多项专利，并与国内部分科研院所和企业建立了长期稳定的合作关系。 公司已掌握高温母合金、高温合金粉末以及精密铸造叶片、粉末盘等热端部件生产的先进技术， 建立了超高纯度高温合金熔炼、涡轮叶片无余量精密铸造技术体系，所生产的定向、单晶及等轴晶 叶片和粉末涡轮盘等产品，已先后在多型号航空发动机、燃气轮机等装备中获得应用，并具备了批 量生产的工程能力。,0,11/9/2025 12:02:49,16/9/2025 17:37:19
16059,323008,2022,1,牧原禾禾牧业公司    三、核心竞争力分析 1.主业经营规模效益日趋明显。自公司收购超低温金枪鱼项目、丰汇项目及托管金枪鱼围网项目后，收购项目和托管 项目已与原有的低温金枪鱼项目实现了深度融合，产业链不断延伸，业态更趋完善。收购项目和托管项目不单单丰富了公 司的产品结构，而且与原低温金枪鱼项目在渔业资源、生产管理、船员管理、市场销售、船舶修理以及物资采购等各个方 面充分实现了信息共享和优势互补，协同效应与规模效益正逐步呈现。面对新冠疫情持续、俄乌局势、全球通货膨胀和大 宗商品价格上涨等不利局面，公司各大洋捕捞船队顽强拼搏、科学调度，狠抓生产和市场营销，努力提高船队产量和鱼货 销售价格，公司抗风险能力进一步提升。公司在船队规模、生产能力，专业人才储备、市场话语权等方面均处于国内领先 水平，已成为国内金枪鱼延绳钓领域的引领者。牧原禾禾牧业公司2022年年度报告全文 10 2.生产专业化、全球化。深冷金枪鱼项目与丰汇项目成功并购和金枪鱼围网成功托管后，公司金枪鱼船队作业区域从 中西部太平洋海域拓展到大西洋、印度洋和东太平洋，产品细分种类更为丰富，从中等价值的长鳍、黄鳍金枪鱼等品种， 向上拓展到经济价值较高的大目金枪鱼和价值最高的大西洋北方蓝鳍金枪鱼，向下延伸到鲣鱼，产业链从延绳钓延伸到围 网，产品销向覆盖高、中、低收入阶层。 3.生产装备更新改造水平不断提升。近几年来，公司根据船只使用情况、捕捞资源变化以及行业技术装备发展状况， 在选择好合适船型的基础上，适时投资建造新型生产船、更新改造已有作业船只，一方面扩大船队规模，生产能力、技术 装备水平不断提升；另一方面，逐步淘汰落后产能、降低生产成本、提升捕捞配额利用效率，公司以捕捞为基的战略发展 目标得到了有效保障。继去年投资建造投产两艘代表目前中国金枪鱼延绳钓船建造最高水准的 58 米高纬度海域专业蓝鳍 金枪鱼延绳钓船及两艘52米长超低温金枪鱼沿绳钓船后，今年公司再开工建造2艘52米长超低温金枪鱼延绳钓船，大修 改造了 16 艘低温长鳍金枪鱼延绳钓船和 2 艘超低温金枪鱼延绳钓船，提高了船舶性能，提升安全保障能力，单船生产经 营效益将得到进一步提升。 4.稀缺资源获取能力不断增强。公司是目前国内唯一一家拥有大西洋北方蓝鳍金枪鱼捕捞配额的公司。我们以国内农 业龙头企业——中国农发集团为股东依托，在行业话语权、政策支持、业务发展等方面，具有独特的资源获取能力；根据 集团股东发展战略规划纲要，公司将作为集团内远洋渔业资源整合的平台，在下一步公司快速扩张、专业队伍建设、产业 链延伸等方面有着较强优势。另外，主业捕捞项目均是国内最早开发的，且逐年扩大发展，有坚实的历史基础和丰富的从 业经验，在渔业资源和渔场的掌握、入渔许可和经营政策、船员招聘等方面都具有先发优势。 5.科技投入持续增加，创新能力不断增强。科技就是生产力，创新产生驱动力，公司高度重视科技投入，加强科技创 新。今年，公司“金枪鱼渔业渔情预报系统”开发完成顺利投入试运行，“蓝色粮仓”项目完成第一次海试，东太平洋剑 鱼渔场开发探捕项目顺利开展，探鱼和跟踪锁定中心渔场的能力进一步增强，渔船的作业效益进一步提升。“卫星电浮标 渔业信息服务系统项目”与牧原禾禾牧业公司“生态型可降解人工集鱼装置（FAD）”项目合并为“高性能声呐探鱼卫星浮标系统 与可降解人工集鱼装置（FAD）的研发与集成应用”项目，获评中国农业发展集团关键核心技术攻关项目。 6.项目管理能力突出。公司主业捕捞项目生产经营组织管理体系完整健全，日趋成熟，在管理和成本控制方面具有较 强的竞争优势。中西部太平洋金枪鱼项目为所在国提供就业岗位，促进当地渔业发展，实现互利共赢；公司在斐济、瓦努 阿图、所罗门设有代表处，在瓦努阿图建立渔业加工厂和渔业码头等设施，为海上船队生产作业、提升生产效率和经济效 益提供有力保障。 7.有良好的经营管理团队和企业文化。公司从决策层、经营层到海上船队，都对远洋渔业的生产经营具有很好的掌控 力，对行业发展趋势、发展规律等有着深刻的理解和独到的认识，形成完善、科学的规章制度和履约守规、注重环保、敢 于拼搏的企业文化，为公司持续向上、稳健发展提供基础保障。,0,11/9/2025 12:02:49,16/9/2025 17:38:38
16060,528020,2022,1,云帆青锦造纸公司    三、核心竞争力分析 （一）区域优势 公司地处西北地区，数据中心拥有先进的自然冷却技术，通过 湿膜加湿等技术，有效降低了数据中心电力消耗，提高能源效率， 形成了明显的运行成本优势。同时，公司 50MWp光伏项目具有日 照资源丰富的天然优势，为发展太阳能发电项目提供资源基础。云帆青锦造纸公司 2022 年年度报告全文 17 / 200 （二）政策优势 公司数据中心位于宁夏中卫市，处于国家战略工程“东数西 算”的双节点城市，随着国家“东数西算”工程的正式全面启动， 公司数据中心行业优势和政策优势凸显。 （三）市场优势 公司是西北地区最大的造纸类上市公司，公司彩色纸的研发、 生产、销售在行业内优势较为明显。随着彩色纸在公司纸产品比重 中不断加大，公司在彩色纸细分行业的市场占有率进一步提升，在 彩色纸业内具有较高知名度，利于品牌建设，具有品牌影响力。 （四）管理优势 公司践行“向文明、德载业、竞天择、新致远”的企业文化理 念，并结合公司战略发展规划，打造了一支高效、专业、理念先 进、作风优良的经营管理团队。公司管理层坚持“四新”经营理 念，在体制、机制、效率和能力方面进行突破，引领公司实现可持 续发展。 报告期内，公司核心竞争力未发生变化。,0,11/9/2025 12:02:49,16/9/2025 17:38:55
16061,432628,2022,1,卡洽食鲜乳品公司    三、核心竞争力分析 （一）地缘和资源优势卡洽食鲜乳品公司2022年年度报告全文 11 新疆作为我国实施“一带一路”战略的核心区域，具有水土光热资源优势，是世界上最适合种植加工番茄的区域，目 前已成为世界三大番茄种植主产区之一。而兵团番茄种植面积占新疆番茄种植面积的近 60%，公司作为兵团从事番茄制 品生产销售的农业产业化龙头企业具有一定的地缘和资源优势。 （二）博士后科研工作站 2002年11月，公司被国家人事部正式批准设立“博士后科研工作站”，公司充分发挥博士后制度在科学技术研究、人 才培养和使用及人才流动等方面的优势，促进产、学、研结合。公司计划逐步研发番茄、棉花、小麦、玉米、大豆、西 甜瓜、辣椒等区域特色良种产品，培养和造就适应公司发展需要的高级科技和管理人才，为公司提高公司的技术创新能 力，引进和培养高水平人才，推进公司的技术进步，加快科技成果转化为生产力。 （三）质量控制体系 公司下属的番茄制品生产企业整体通过了国家质量认证中心 ISO9001、HACCP、ISO14001 等各项认证，公司生产 的番茄制品通过了欧洲食品组织 BCS认证、美国汉斯公司考核认证、亨氏公司非转基因品种认证、犹太教认证和阿拉伯 国家清真食品认证。2004 年 10 月，公司的企业技术中心通过国家级企业技术中心的评定；2005 年 3 月，公司的 “ChalkiS”牌番茄酱被国家商务部列为“西部地区食品与土畜行业唯一重点培育和发展的出口名牌产品”；2005 年，公司被 评为全国农业产业化优秀重点龙头企业；2008 年被认定为国家农产品加工技术研发专业中心唯一的蔬菜加工专业分中 心；2009 年公司检测中心通过了中国合格评定国家认可委员会（CNAS）的实验室认可。公司的“Chalkis”番茄制品得到 国际广泛客商的认可，树立了较好的国际品牌形象。,0,11/9/2025 12:02:49,16/9/2025 17:39:18
16062,886968,2022,1,"西业裕裕控股公司    三、核心竞争力分析 （一）资金优势 公司资产负债率为 21.57%，在黄金矿业企业中资产负债率最低，具有较强的融资能力，与银行等 金融机构有良好的合作关系。公司作为上市公司，资产质地良好，法人治理结构完善，符合上市公司的 再融资条件。公司将会根据业务发展的需要，采取多种方式开辟更多的资金渠道，以保证公司在资源类 市场上做大做强。 （二）人才资源优势 公司控股子公司玉龙矿业拥有一批经验丰富、长期从事地质勘探和开发工作的技术人员和管理人员， 其少数股东内蒙古地质矿产（集团）有限责任公司、内蒙古第十地质矿产勘查开发有限责任公司拥有十 分熟悉中国区域地质基础资料的勘查专家和技术力量，能为公司未来增加资源储量、提高产能、增加收 益提供支持。 黑河银泰、吉林板庙子和青海大柴旦曾是国际上黄金产量排名前列的埃尔拉多公司在中国的部分资 产，收购和重组完成后，公司最大限度地保留了矿山的原有团队，培养了一大批各类技术管理人才，尤 其是矿山地质、测量、生产计划、设备管理、安全环保管理等人才。同时公司秉承了国际矿业公司的先 进生产管理理念和管理经验。目前矿山的数字化管理水平和安全环保管理水平在国内处于领先位置。 （三）资源优势 1、矿产资源储量丰富 玉龙矿业拥有的西乌珠穆沁旗花敖包特银铅矿的保有矿石储量、银金属量、铅金属量、锌金属量均 达到大型矿山标准。截至 2022 年末，玉龙矿业采矿权和探矿权合计保有资源量矿石量 5,385.68 万吨， 银金属量 6,832.49 吨，铅金属量 60.85 万吨，锌金属量 105.86 万吨，铜金属量 6.35 万吨，锡金属量 1.82万吨，伴生金 152千克。花敖包特银铅矿采矿权深部发现的铜锡矿正在勘探，目前未进行资源量估 算，未来将在采矿权深部勘探报告中详细估算铜锡资源量情况。西业裕裕控股公司2022年年度报告全文 18 截至 2022年末，吉林板庙子保有资源量为矿石量 540.5万吨，金金属量 20.59吨。青海大柴旦保有 资源量矿石量 1,637.37 万吨，金金属量 65.95 吨。另有堆存矿石量 131.44万吨，金金属量 6.85吨。黑 河银泰保有资源量矿石量106.27万吨，金金属量 8.99吨，银金属量 72.39吨。另有存货矿石量 21.41万 吨，金金属量 0.70吨，银金属量 16.32吨。华盛金矿根据 SRK出具的独立技术报告保有控制加推断的 资源量矿石量2,322.50万吨，金金属量70.67吨。 截至 2022年末，西业裕裕控股公司合计总资源量（含地表存矿）矿石量 10,145.17万吨，金金属量 173.9吨， 银金属量 6,921.2吨，铅+锌金属量 166.71万吨，铜金属量 6.35万吨，锡金属量 1.82万吨。（上述资源 储量中部分储量尚未经评审） 2、矿产资源品位高 公司旗下贵金属矿山均为大型且品位较高的矿山。其中，黑河银泰东安金矿是国内品位较高、最易 选冶的金矿之一。公司矿石平均品位高，在有色金属价格受国际经济环境影响剧烈波动的情况下，能够 确保公司业绩稳定，具有很强的抗风险能力。 （四）勘探前景广阔 截至本公告日，公司五家矿山子公司共有15宗探矿权，探矿权的勘探范围达159.63平方公里。其 中，玉龙矿业拥有 6宗银铅锌矿探矿权证，探矿权的勘探范围达 42.84 平方公里。玉龙矿业矿区处在大 兴安岭有色金属成矿带和华北地块北缘多金属成矿带，该地带蕴藏着丰富的有色金属资源，具备了产出 银、铜、铅、锌、金等有色金属和贵金属大型矿区的优势条件，是国内外瞩目的寻找大型、特大型乃至 世界级有色金属矿床重点地区，找矿潜力巨大，勘探前景非常广阔。吉林板庙子、青海大柴旦及银泰盛 鑫共有 9 宗金矿探矿权证，探矿权的勘探范围达 116.79 平方公里。青海大柴旦位于青海省滩间山贵金 属有色金属矿重点成矿区，成矿条件优越，在两个采矿权周边有多处物化探异常，找矿潜力巨大。吉林 板庙子自投产以来，持续进行的生产勘探成效显著，保持了良好的探采平衡，保有资源持续稳定，具有 良好的可持续经营能力。金英金矿外围探矿权也有很好的找矿线索，板石沟探矿权已经开始实施钻探工 程，并有了工业矿体发现。黑河银泰东安金矿为少有的高品位、浅埋藏低温热液型金矿，外围及深部也 有进一步找矿的可能，有望逐步扩大矿山产量，延续矿山服务年限。",0,11/9/2025 12:02:49,16/9/2025 17:40:12
16063,138300,2022,1,鲁西恒泽科技股份公司    三、核心竞争力分析 1、领先的产品研发能力 公司作为高新技术企业，始终聚焦技术创新和产品创新，已具有健全的研发组织机构、完善的运营管控系统，从 产品研发、新品试验到生产，都保持在行业的先进水平。同时，公司拥有多种国外先进检测设备，为产品研发、品质 保证和准时供货提供有效保障，以有效满足客户需求，巩固市场地位，夯实核心竞争力基础，助推企业高质量发展。 截止报告期末，公司已取得140项专利，其中15项发明专利、1项PCT国际发明专利、125项实用新型专利；正 在申请15项专利，其中1项PCT国际发明专利、10项发明专利和5项实用新型专利；相关专利覆盖了二氧化硅、炭 黑的专业生产设备、生产制造技术与工艺；公司参与起草了多项二氧化硅和炭黑国家标准，建有“潍坊市无机硅材料 工程实验室”、“潍坊市纳米二氧化硅功能材料工程技术研究中心”，并与上海交通大学合作设立“导电纳米碳材料 联合研发中心”，与青岛科技大学建立“联合研发实验室”；公司已通过ISO9001、ISO14001、ISO45001等管理体系 认证；公司产品已通过欧盟FAMI-QS、欧盟REACH、韩国CIRS预注册和汽车行业IATF16949认证；公司产品被评为山 东省优质品牌、山东省知名品牌；报告期内，公司被评为国家级第四批专精特新“小巨人”企业、山东省民营企业 100强、山东省民营企业创新100强、潍坊市级“绿色工厂”。依托公司强有力的研发、技术实力，近年来公司主要 产品在同行业处于领先地位。 2、优质客户资源优势 公司长期致力于二氧化硅和炭黑的研发、生产和销售，有着丰富的研发和生产经验。公司与主要客户合作多年， 具有长期性和稳定性的特点。截至目前，公司的二氧化硅和炭黑产品已取得涵盖世界知名轮胎企业中的优科豪马、正 新橡胶、固铂轮胎、赛轮轮胎及国内主要轮胎上市公司中的三角轮胎、贵州轮胎、风神轮胎、双星轮胎、浦林成山等 知名轮胎企业及维生素龙头企业新和成的认证，并与上述客户形成了良好合作关系。公司作为合格供应商获得主流客 户认证，提升了公司的市场竞争力和持续盈利能力，进一步提高了公司在二氧化硅、炭黑生产行业的知名度，提高了 公司新客户、新产品的市场开拓能力。 公司根据客户的需求，进一步提高产品研发水平、推出创新产品、提高产品质量管控和客户服务水准，促使公司 形成高效、稳定的研发和管理团队。未来，公司与现有优质客户将继续深化合作，实现产品质量升级和产品系列多样 化。 3、全产业链优势 公司进行了产业链整体布局，产品涵盖炭黑、二氧化硅及原料硅酸钠、蒸汽、电力等。公司大力发展循环经济， 重视能源综合利用，利用炭黑尾气资源，为二氧化硅、硅酸钠及周围企业提供尾气、蒸汽；公司按照分布式电源模式， 建设余热发电机组，满足自身电力需求；同时，公司利用周边厂区的煤气作为燃料，可降低产品生产成本；尾气、蒸鲁西恒泽科技股份公司 2022年年度报告全文 17 汽、电力实现区域循环经济能源综合利用，可减少环保排放，降低二氧化硅、炭黑的生产成本，增强了公司的盈利能 力。 4、产品质量优势 公司建立了严格的生产管理流程、产品质量控制体系、顾客满意控制程序，实现了从原材料采购到产品出库的全 过程质量控制。公司产品严格执行国家、行业和企业的相关标准。公司已通过ISO9001、ISO14001、ISO45001等管理 体系认证；公司产品已通过欧盟FAMI-QS、欧盟REACH、韩国K-Reach注册和汽车行业IATF16949认证。 报告期内，公司扎实推进精益管理，并对生产设施不断进行技术改造和自动化升级，对产品生产进行全过程控制， 不断提高产品的纯净度和稳定性。 5、区位优势 公司及子公司地处山东省青州市、临朐县，具有独特的资源禀赋和区域产业优势。 二氧化硅、炭黑产品运输成本较高，存在最佳销售半径。山东省是我国最大的轮胎生产基地，二氧化硅及炭黑下 游轮胎产业是山东的优势产业。这为公司二氧化硅、炭黑产品提供了广阔市场空间。公司目前已与省内的双星轮胎、 赛轮轮胎、三角轮胎、浦林成山、华盛橡胶等知名企业建立了长期稳定的合作关系。 山东省是钢铁、焦炭大省和化工大省，焦炭、纯碱市场容量大，公司原材料采购运输半径布局合理；另一方面， 山东省较大的焦炭、纯碱产量也使煤焦油、纯碱供给充足，公司原料煤焦油、纯碱具有一定的成本竞争优势。目前， 公司主要大宗原材料供应商集中在山东省范围内，包括山东钢铁公司莱芜公司、山东钢铁公司日照公司、山东雷奥新 能源、山东杰富意、山东海化等，供应商结构、分布合理。 公司同时拥有采购端及销售端的双重区位优势，可以有效地控制采购及运输成本；同时凭借其区位优势更好的服 务客户，提高客户粘性，与客户保持长期稳定的合作关系，因此客户的流失风险相对较小。,0,11/9/2025 12:02:49,16/9/2025 17:41:05
16064,635018,2022,1,用丰智软数据服务公司    三、核心竞争力分析 公司虽现有业务因规模、体量弱，核心竞争力不足，但因重整化解了债务危机、引入了重整资源、确定了实控人、 引入了国资背景的股东，并获得实际控制人对公司业务发展的资金支持，公司未来业务发展在股东背景以及发展资源供 给等方面具备一定的竞争优势，后续公司将积极利用股东背景、现有发展资源不断加大煤炭业务客户和供应商的拓展、 业务区域的辐射深挖，构建、提升和强化自己的核心竞争优势。用丰智软数据服务公司2022年年度报告全文 11,0,11/9/2025 12:02:49,16/9/2025 17:41:13
16065,955171,2022,1,长桥光创电气公司    三、核心竞争力分析 （一）市场及客户分析 1. 公司主要从事多类型精密高端电子元器件的研发、生产和销售，长期致力于通过新材料、新技术研究和新产品开 发，贯行“产品开发、市场开拓双驱动机制”推动公司持续发展。积极通过持续全面创新，包括技术创新、管理创新和组 织变革，持续向客户提供有竞争力的产品、解决方案以及服务，扩大产品的配套能力和应用领域。长桥光创电气公司2022年年度报告全文 11 2. 公司产品系列越来越丰富，且市场应用领域广泛，覆盖了汽车及新能源汽车、储能、光伏、大数据、物联网、 5G和通讯、移动终端、消费电子、工业控制、模块模组等重要市场。 3. 公司拥有全球领先的大客户群体，取得了以上重要市场几乎所有全球行业标杆企业认可。公司成立以来始终坚持 聚焦大客户战略，目前客户群已涵盖了通讯、汽车电子、光伏及储能、新能源、消费等行业全球众多标杆企业。公司始 终坚持耕耘新兴市场，以主攻头部客户为战略指引，持续不断研究市场需求趋势，向新兴市场持续推出系列化新产品， 在满足全球高端电子品牌企业严苛的品质需求以及建立安全供应链的基础上，通过持续创新，提供出既能解决客户技术 痛点同时满足客户创新需求的产品及技术解决方案。 （二）技术及规模分析 1. 长期致力于新材料、新技术研究和新产品开发，贯行“产品开发、市场开拓双驱动机制”战略，推动公司可持续发 展。 2. 持续全面创新，包括建立多元化技术创新和产品开发模式、加强建设深度技术平台能力、系统性规划提升技术平 台，持续向客户提供有竞争力的产品、能解决客户技术痛点的方案以及服务，扩大产品的配套能力和应用领域。 3. 具备综合竞争优势。在长期竞争过程中，积累了各重要市场领域内行业高端客户群信息优势、高精尖产品品质优 势、研发和技术解决方案优势及综合服务配套优势。 4. 持续丰富的产品线，目前已经涵盖磁性器件、微波器件、敏感及传感器件、精细陶瓷四大产品发展方向，在全球 市场中具备良好口碑和品牌美誉度，主要产品的技术和规模都具备重要市场影响力。其中片式电感产品市场份额达到全 球前三、国内第一；新型电感产品和各类型各系列变压器产品持续推向市场，知名度及核心优势在全球范围内全面提升。 同时，充分依托固有的竞争优势（客户优势、品质优势、技术优势、服务优势），坚持持续创新，不断开发符合大 客户需求预期的创新产品，具有核心竞争力的新产品线持续拓展；市场份额持续提升。 （三）品质及服务分析 公司持续贯彻“质量第一、持续改进”的质量管理思想；质量管理向产品前端和管理前端推进，强调产品品质及管理 体系和工作流程的持续改善，尤其是加强了对产品缺陷管理和管理体系的可靠性、有效性、可操作性及完整性的审核和 改善，最终构筑“Sunlord”产品的可信赖、高质量品牌。 （四）激励体系及人才管理分析 公司高度重视优秀管理团队的搭建和高、精、尖的专业人才的培养，不断尝试推行和优化更高效的激励及考核制度， 注重短期激励及长效激励措施相结合。子公司持股计划、内部合伙人工作制度持续推进，效果显著，运用不断创新的思 维和理念，建设高效而充满活力的管理运营团队。公司持续推动组织变革，提升效率、强化经营理念和强化绩效评价应 用，全面推行经营预算与经营量化，引导公司管理者向经营者转型，保证了管理能力和经营效率的持续提升。公司将持 续完善组织机构、完善流程化管理体系，随着全面经营预算与经营量化工作的持续深入，组织活力进一步被激发，从而 持续提升企业运作效率和营利能力，实现企业健康可持续高质量发展。 总结：布局新兴市场（汽车电子、新能源、大数据、物联网）的快速成长，打开了公司广阔发展空间；聚焦行业大 客户战略、积极开发新产品和新技术；重视产品质量管理及“Sunlord”高质量品牌形象；持续全面创新及管理变革的发展 战略，重视骨干人才团队培养和效率提升，为公司的持续增长奠定了坚实的基础。长桥光创电气公司2022年年度报告全文 12,0,11/9/2025 12:02:49,16/9/2025 17:41:55
16066,226914,2022,1,恒丽数智系统公司    三、核心竞争力分析 （一）技术研发及自主创新优势 恒丽数智系统公司长期从事互联网技术应用及电子商务平台开发，始终坚持自主研发及技术创新，在长期的 实践中积累了丰富的互联网及电子商务技术及开发应用经验，譬如：支撑海量并发的先进信息处理和实 时交易技术体系、跨端开发及应用技术体系、大规模数据开发及应用技术体系、人工智能开发及应用技 术体系，以及提供全球负载均衡服务的基础支撑技术体系、保障各级系统安全的安全技术体系等。 随着外部环境和各类技术的不断发展，为更好地满足各类用户的升级需求，公司成立了研究院及研 发中心，持续致力于技术和产品创新；周期性开展“创新评选”、“技术大会”等内容丰富、形式多样 的技术创新活动，塑造了浓厚的技术创新氛围；在对外活动中，公司注重外部资源、人才的引进与交流， 与多个高校、研究机构建立了深厚的合作关系；公司主营业务立足于互联网领域，深厚的技术基础，强 大的研发能力能够保障公司极速部署商业规划，提升客户体验，达成产业目标。 （二）品牌影响力、客户资源、市场渠道等先发优势恒丽数智系统公司2022年年度报告全文 13 公司为国内出口型中小企业提供电子商务服务长达 26 年，积累了大量优质 B 类客户资源、数据沉淀 及客户信任，目前客户广度正随着时间不断增长，随着平台运营的日益精细，客户在平台的投入意愿也 在逐步加深。中国制造网通过多年的潜心积累，联合物流、报关、云建站等多类型业务的协同，正不断 完善外贸服务的生态链条，拓展服务深度并建立专业化优势。 中国制造网注重品牌的力量，通过线上线下等多种方式为国内供应商和国外买家提供交易的桥梁。 为了打开平台供应商的海外销路，为平台客户借“势”，公司已与荷中商会、欧美工商会、越南工商会、 中国泰国商会、中法?化交流协会等国际组织建立合作联系，引入当地国的大宗采购订单，挖掘海外各 类型企业买家深度，为中国供应商提供精准匹配服务，缩短贸易进程，助力跨国贸易。中国制造网通过 举办“中国制造之美”评选活动，利用自身品牌影响力帮助中国供应商与全球买家实现贸易对接，发掘 中国制造之美，向全球买家传递中国制造价值，帮助中国供应商展示自身品牌价值。 公司旗下产品和服务多次获得国家有关部门、行业机构的认定和嘉奖，被中国服务贸易协会、中国 电子商务协会、中国互联网保险发展大会等组织授予“中国最佳客户服务奖”、“中国最佳服务创新 奖”、“互联网保险优秀服务平台”、“最受消费者信赖保险网站”等各类奖项。 （三）人力资源及管理优势 目前公司已建立起一支经验丰富、默契稳定的管理团队以及年轻化、专业化的员工队伍。公司核心 管理层在互联网、人工智能等相关技术开发及应用、电子商务平台运营、市场营销等方向具备丰富的经 验，并对外部环境变化及公司业务未来的发展趋势具有深刻理解。 公司始终坚持推进人才培育战略，自主建立了知识管理系统，通过完备的知识管理体系，加速人才 培养、提升人员沟通效率、沉淀技术基础；在人员晋升上，公司提供了明确的岗位提升标准，培养了一 批有能力、有志向的年轻管理者，以组织化学习、培训、考核等方式持续提升团队能力；在人员赋能上， 通过股权激励计划、设立业绩激励基金、分公司改制、优化分配制度等各类激励方式，将员工收益与公 司业绩做深度绑定，多角度为奋斗者赋能，激励员工与公司共同成长。 报告期内，公司的核心竞争力未发生变化。,0,11/9/2025 12:02:49,16/9/2025 17:42:33
16067,103005,2022,1,北控盛净环境科技公司    三、核心竞争力分析 报告期内，公司多个生物质热电联产项目投产，随着生物质项目已投产装机规模的不断增加，公司 在行业内地位得以提升；加上公司精细化管理的措施在更多项目运营中的逐步落实，公司的核心竞争力 将在市场进一步得到检验，具体在于： （1）具有多年环保项目精细化运营经验北控盛净环境科技公司2022年年度报告全文 17 近年公司大量新项目完成建设及步入正式商业运行期，这进一步提升了公司的行业地位并为公司在 行业竞争中增加了规模上的优势。同时，为了应对大规模项目运营给管理上带来的挑战，公司将持续深 化精细化的管理模式，结合多年在行业内积累的经验，进一步对组织进行扁平化改革以实现对问题的快 速反应，确保公司环保项目的各项运营指标得到不断优化。 （2）生物质热电联产项目的可持续发展 在原有全国布局开发的基础上，报告期内公司所有新增的生物质热电联产项目在发展热负荷已有 所突破的基础上，努力在当地引入新增用热企业，力争扩大非补贴收入在项目收入中的占比，为公司业 绩提供新的增长点。同时，生物质能发电行业作为国家支持的环保减碳行业，当国家进一步放开碳排放 交易市场后，公司的生物质能热电联产项目每年产生的可交易碳排放权指标也能为公司实现收入的新增 长。,0,11/9/2025 12:02:49,16/9/2025 17:42:48
