企业名称,bmCode,year,总资产,净利润金额,雇员总数,营业收入金额,资产负债率,研发投入金额,营业收入同比增减幅,营业利润金额,营业利润同比增减幅,净利润同比增减幅,研发投入同比增减幅,研发投入占比,研发投入占比增减幅,资本化研发投入,资本化研发投入同比增减幅,研发人员数量,研发人员同比增减幅,雇员同比增减幅,政府奖励资金、补贴,公司市值,累计中国专利申请数,累计PCT专利申请数,累计中国发明专利授权数,累计中国发明专利失效数,累计PCT发明专利失效数,年度中国专利申请数,年度PCT专利申请数,年度中国发明专利申请数,年度PCT发明专利申请数,年度中国专利授权数,年度中国发明专利授权数,研发人员占比,国家科技进步奖,国家技术发明奖,省/部级科技进步奖,省/部级技术发明奖,国际行业奖项,国家自然科学奖,省/部级自然科学奖,省/部级科学技术奖,省级企业科技创新奖,总负债,累计所有专利被引用数,累计核心专利被引次数,累计中国发明专利申请数,累计PCT发明专利申请数,参与起草国家标准,参与起草行业标准
海山昌工设备公司,100071,2022,560748768.01,11602149.45,344.0,254460676.29,86.36,11045711.48,-19.28,11280198.7,-4.58,-5.49,-14.09,4.33,0.22,,,41.0,-2.32,-2.83,4047614.09,30.0,285.0,,30.0,115.0,,2.0,,2.0,,2.0,,12.07,,,,,,,,,,484419707.6,718.0,,137.0,,,
众白锦贸连锁公司,100120,2022,1424339493.0,69462971.0,236.0,2271503839.0,57.67,11270987.0,12.21,99292171.0,-40.65,-48.5,-56.91,0.5,-0.71,,,,,92.5,42039.0,5.46,33.0,1.0,2.0,10.0,,16.0,,5.0,,3.0,1.0,,,,,,,,,,,820524382.0,12.0,,18.0,1.0,,
三三达腾重工公司,100260,2022,2503980366.99,155125599.81,868.0,799392301.84,13.64,71895263.72,-9.41,171177285.03,-35.28,-33.0,26.97,8.9,2.55,,,219.0,42.93,27.16,11937935.97,53.0,1339.0,36.0,24.0,40.0,,175.0,6.0,45.0,6.0,143.0,11.0,24.77,,,,,,,,,,340822960.05,1109.0,,238.0,36.0,,
润会联科数据服务公司,100355,2022,7016250216.0,-1111204655.0,821.0,1980451914.0,38.4,45958738.0,-49.5,-947147858.0,-3974.8,-12994.19,-34.6,2.3,0.57,,,103.0,-38.52,-64.86,,11.0,3.0,,2.0,,,,,,,,,12.35,,,,,,,,,,2694342572.0,5.0,,3.0,,,
明机泽工智能装备公司,100485,2022,3569402601.9,-18837957.53,2079.0,1719420471.32,37.67,123022834.98,19.87,-38699975.24,-118.63,-103.63,13.1,7.13,-0.44,,,336.0,1.2,-0.49,21124842.98,42.0,577.0,2.0,101.0,28.0,,63.0,,21.0,,51.0,9.0,16.21,,,,,,,,,,1344878766.45,1239.0,,245.0,2.0,,
罗安织尚服饰公司,100598,2022,827548000.1,-1442576.85,697.0,548963641.86,23.11,36150403.87,-18.09,-5755257.8,-116.17,-100.8,-6.28,6.53,0.85,,,114.0,6.8,-5.43,17317656.07,32.0,258.0,1.0,32.0,18.0,,5.0,,2.0,,7.0,1.0,15.9,,,,,,,,,,191917073.25,470.0,,66.0,1.0,,
华鲁润源科技股份公司,100639,2022,1813504307.8,-109823137.0,643.0,664310105.79,69.92,35205566.64,6.28,-123195229.82,-1147.35,-1000.7,91.93,5.3,2.35,,,67.0,-19.24,2.73,98706.23,17.0,92.0,,35.0,21.0,,14.0,,6.0,,10.0,6.0,10.42,,,,,,,,,,1268836292.0,568.0,,70.0,,,
平汝港畅畅仓储公司,100711,2022,2141903829.24,151273763.86,573.0,3088383006.96,39.51,,19.1,190819839.07,19.82,13.18,,,,,,,,15.8,11745400.92,21.0,1.0,,,,,,,,,,,,,,,,,,,,,847684971.82,,,,,,
连机创机机床公司,100791,2022,2544495099.07,-35858671.0,1276.0,1082827667.36,50.32,58357098.35,2.29,-41697747.51,-215.44,-231.87,4.0,5.37,0.05,420397.0,,290.0,-6.3,6.56,17050049.07,29.0,579.0,3.0,60.0,21.0,,86.0,,32.0,,105.0,15.0,23.32,,,,,,,,,,1282191282.77,549.0,,176.0,3.0,,
花盈瑞恒资产管理公司,100828,2022,509955414193.58,7517450368.56,14155.0,27565142530.54,81.75,,-7.76,9501023621.33,-27.15,-26.58,,,,,,,,20.16,65966291.0,1662.0,197.0,,10.0,5.0,,113.0,,85.0,,36.0,5.0,,,,,,,,,,,416666845074.3,87.0,,103.0,,,2.0
云达运锦快递公司,100833,2022,23334928651.14,1810572294.58,3559.0,5619948608.7,11.98,43880779.08,-7.46,2211697088.49,-13.94,-15.83,-21.04,0.72,-0.15,,,319.0,24.58,-1.16,73566083.16,200.0,302.0,,19.0,7.0,,34.0,,5.0,,48.0,5.0,8.86,,,,,,,,,,2797458172.17,349.0,,41.0,,,
杰杰锦智装备公司,101179,2022,2057803384.61,155920484.24,1249.0,651312213.83,7.54,74315432.37,3.61,171059342.86,-1.06,2.27,37.48,11.42,2.8,,,285.0,35.58,20.64,6256655.22,44.0,422.0,1.0,23.0,7.0,,182.0,,54.0,,73.0,6.0,23.09,,,,,,,,,,155885912.06,413.0,,120.0,1.0,1.0,
万会泽置置业公司,101327,2022,7698450568.5,272565943.5,14.0,103809398.21,58.54,,3.84,19866315.0,-83.08,-57.21,,,,,,,,,,3.05,,,,,,,,,,,,,,,,,,,,,,4508394374.74,,,,,,
众课智智科技公司,101341,2022,1532251087.4,64291401.08,1481.0,1180129185.45,42.34,347799347.9,14.64,73023429.77,51.84,31.12,6.0,29.41,-2.4,,,830.0,5.99,8.45,8533360.9,165.0,515.0,15.0,140.0,108.0,,77.0,,77.0,,17.0,17.0,56.44,,,,,,,,,,649230462.5,2186.0,,458.0,15.0,,
众研源源工程设计公司,101564,2022,3240974677.71,162132784.64,1958.0,1152080882.72,19.0,65353435.79,5.17,170252810.33,-7.93,0.7,14.1,5.65,0.4,,,239.0,21.34,20.01,11534052.5,42.0,924.0,4.0,167.0,150.0,,161.0,,48.0,,121.0,26.0,11.95,,,,,,,,,,615927889.08,3091.0,,406.0,4.0,1.0,1.0
景能昌能新能源公司,101583,2022,26310894365.0,208487632.29,5064.0,11154906127.5,56.04,,18.48,441692646.27,-66.3,-80.17,,,,,,,,3.95,77983035.77,154.0,4.0,,,,,,,,,,,,,,,,,,,,,14740912272.0,11.0,,,,,
双惠锦香酒业公司,101703,2022,3877100546.48,-164628364.43,2093.0,2654623149.94,58.99,21331157.54,4.54,-93976091.75,-199.1,-301.82,-18.33,0.8,-0.22,831828.29,-0.37,34.0,17.2,8.36,21878694.64,46.0,123.0,,34.0,29.0,,4.0,,1.0,,12.0,1.0,1.6,,,,,,,,,,2285996322.54,410.0,,70.0,,,
和联创航设备公司,101831,2022,1510394154.7,129531279.04,515.0,376883825.65,9.26,41338250.44,10.38,145855949.16,12.16,8.2,11.03,10.94,0.06,,,128.0,9.4,5.8,24444326.26,37.0,237.0,1.0,17.0,8.0,,39.0,,20.0,,33.0,8.0,24.81,,,,,,,,1.0,,140039880.47,268.0,,79.0,1.0,,
高尹达达贸易公司,102278,2022,22927837146.0,-132766832.0,28766.0,24681370368.0,94.86,,-0.34,-23572172.0,92.5,64.24,,,,,,,,25.93,85172155.0,4.3,1.0,,,,,,,,,,,,,,,,,,,,,21742469292.0,2.0,,1.0,,,
