id,year,bmCode,companyType,bmCompanyName,completedDate,listingDate,delistingDate,industryId,secondIndustryId,firstClassificationId,secondClassificationId,secondClassification,firstClassification,secondIndustry,industry,province,city,area,exchange,plate,ownership,multipleList,isResult,country,isDelete,companyStatusType,createTime,updateTime
1,2022,707889,沪深,花盈泰盛财富管理公司,2/7/1987,26/10/1991,,7,34,0,0,,,银行,金融业,广东省,深圳市,罗湖区,深交所,主板,民营企业,0,1,中国,0,0,7/9/2025 11:59:09,10/9/2025 14:24:34
2,2022,593565,沪深,万会锦盛房地产开发公司,11/4/1984,14/5/1991,,4,7,0,0,,,住宅,房地产业,广东省,深圳市,盐田区,深交所,主板,地方国有企业,1,1,中国,0,0,7/9/2025 11:59:10,10/9/2025 14:24:34
3,2022,122887,沪深,众课科数软件公司,21/11/1989,18/5/1990,,3,1,0,0,,,软件和信息技术服务,信息传输、软件和信息技术服务业,广东省,深圳市,南山区,深交所,主板,民营企业,0,1,中国,0,0,7/9/2025 11:59:11,10/9/2025 14:26:04
4,2022,558779,沪深,北控泽净水务公司,,13/10/1990,9/1/2024,28,24,0,0,,,水利、环境和公共设施管理业,水利、环境和公共设施管理业,广东省,深圳市,罗湖区,深交所,主板,民营企业,0,1,中国,0,0,7/9/2025 11:59:11,10/9/2025 14:24:54
5,2022,358112,沪深,碧园置泽城市发展公司,10/8/1989,11/10/1992,,4,7,0,0,,,住宅,房地产业,广东省,深圳市,罗湖区,深交所,主板,地方国有企业,0,1,中国,0,0,7/9/2025 11:59:12,10/9/2025 14:24:34
6,2022,557516,沪深,碧园盛华建设开发公司,15/5/1983,20/7/1992,,4,53,0,0,,,商业地产,房地产业,广东省,深圳市,福田区,深交所,主板,民营企业,0,1,中国,0,0,7/9/2025 11:59:12,10/9/2025 14:24:34
7,2022,495930,沪深,众车远泽船舶公司,11/1/1989,3/6/1992,,27,60,0,0,,,铁路,铁路、船舶、航空航天和其他运输设备制造业,北京市,北京市,海淀区,深交所,主板,中央国有企业,0,1,中国,0,0,7/9/2025 12:02:48,15/9/2025 11:18:16
8,2022,155509,沪深,华城盛源综合开发公司,11/1/1990,16/6/1991,,24,52,0,0,,,综合,综合,广东省,深圳市,罗湖区,深交所,主板,民营企业,0,1,中国,0,0,7/9/2025 12:02:49,10/9/2025 14:24:34
9,2022,741627,沪深,众海工昌锦建筑设计公司,22/1/1989,7/1/1995,,16,26,0,0,,,土木工程,建筑业,广东省,深圳市,宝安区,深交所,主板,民营企业,0,1,中国,0,0,7/9/2025 12:02:49,10/9/2025 14:24:34
10,2022,931486,沪深,招业泽锦地产控股公司,17/3/1983,20/9/1992,,4,7,0,0,,,住宅,房地产业,广东省,深圳市,罗湖区,深交所,主板,地方国有企业,0,1,中国,0,0,7/9/2025 12:02:50,10/9/2025 14:24:34
