行业,district,企业总数,中外合资经营企业企业数量,中央国有企业企业数量,国有企业（其他）企业数量,国有企业（院所）企业数量,地方国有企业企业数量,外资企业企业数量,民营企业企业数量,集体企业企业数量,深交所企业数量,港交所企业数量,北交所企业数量,上交所企业数量,民营企业-深交所企业数量,地方国有企业-深交所企业数量,中央国有企业-深交所企业数量,外资企业-深交所企业数量,民营企业-港交所企业数量,外资企业-港交所企业数量,中央国有企业-港交所企业数量,国有企业（其他）-港交所企业数量,国有企业（院所）-深交所企业数量,集体企业-深交所企业数量,地方国有企业-港交所企业数量,中外合资经营企业-深交所企业数量,中外合资经营企业-港交所企业数量,国有企业（院所）-港交所企业数量,集体企业-港交所企业数量,民营企业-北交所企业数量,中央国有企业-北交所企业数量,地方国有企业-北交所企业数量,地方国有企业-上交所企业数量,中央国有企业-上交所企业数量,外资企业-上交所企业数量,民营企业-上交所企业数量,国有企业（其他）-上交所企业数量,中外合资经营企业-上交所企业数量,集体企业-上交所企业数量,国有企业（院所）-上交所企业数量,中外合资经营企业-北交所企业数量,外资企业-北交所企业数量,集体企业-北交所企业数量,总资产合计,总资产均值,总资产最大值,总资产最小值,总资产中位数,净利润金额合计,净利润金额均值,净利润金额最大值,净利润金额最小值,净利润金额中位数,雇员总数合计,雇员总数均值,雇员总数最大值,雇员总数最小值,雇员总数中位数,营业收入金额合计,营业收入金额均值,营业收入金额最大值,营业收入金额最小值,营业收入金额中位数,资产负债率均值,资产负债率最大值,资产负债率最小值,资产负债率中位数,研发投入金额合计,研发投入金额均值,研发投入金额最大值,研发投入金额最小值,研发投入金额中位数,营业收入同比增减幅均值,营业收入同比增减幅最大值,营业收入同比增减幅最小值,营业收入同比增减幅中位数,营业利润金额合计,营业利润金额均值,营业利润金额最大值,营业利润金额最小值,营业利润金额中位数,营业利润同比增减幅均值,营业利润同比增减幅最大值,营业利润同比增减幅最小值,营业利润同比增减幅中位数,净利润同比增减幅均值,净利润同比增减幅最大值,净利润同比增减幅最小值,净利润同比增减幅中位数,研发投入同比增减幅均值,研发投入同比增减幅最大值,研发投入同比增减幅最小值,研发投入同比增减幅中位数,研发投入占比均值,研发投入占比最大值,研发投入占比最小值,研发投入占比中位数,研发投入占比增减幅均值,研发投入占比增减幅最大值,研发投入占比增减幅最小值,研发投入占比增减幅中位数,资本化研发投入合计,资本化研发投入均值,资本化研发投入最大值,资本化研发投入最小值,资本化研发投入中位数,资本化研发投入同比增减幅均值,资本化研发投入同比增减幅最大值,资本化研发投入同比增减幅最小值,资本化研发投入同比增减幅中位数,研发人员数量合计,研发人员数量均值,研发人员数量最大值,研发人员数量最小值,研发人员数量中位数,研发人员同比增减幅均值,研发人员同比增减幅最大值,研发人员同比增减幅最小值,研发人员同比增减幅中位数,雇员同比增减幅均值,雇员同比增减幅最大值,雇员同比增减幅最小值,雇员同比增减幅中位数,政府奖励资金、补贴合计,政府奖励资金、补贴均值,政府奖励资金、补贴最大值,政府奖励资金、补贴最小值,政府奖励资金、补贴中位数,公司市值合计,公司市值均值,公司市值最大值,公司市值最小值,公司市值中位数,累计中国专利申请数合计,累计中国专利申请数均值,累计中国专利申请数最大值,累计中国专利申请数最小值,累计中国专利申请数中位数,累计PCT专利申请数合计,累计PCT专利申请数均值,累计PCT专利申请数最大值,累计PCT专利申请数最小值,累计PCT专利申请数中位数,累计中国发明专利授权数合计,累计中国发明专利授权数均值,累计中国发明专利授权数最大值,累计中国发明专利授权数最小值,累计中国发明专利授权数中位数,累计中国发明专利失效数合计,累计中国发明专利失效数均值,累计中国发明专利失效数最大值,累计中国发明专利失效数最小值,累计中国发明专利失效数中位数,累计PCT发明专利失效数合计,累计PCT发明专利失效数均值,累计PCT发明专利失效数最大值,累计PCT发明专利失效数最小值,累计PCT发明专利失效数中位数,年度中国专利申请数合计,年度中国专利申请数均值,年度中国专利申请数最大值,年度中国专利申请数最小值,年度中国专利申请数中位数,年度PCT专利申请数合计,年度PCT专利申请数均值,年度PCT专利申请数最大值,年度PCT专利申请数最小值,年度PCT专利申请数中位数,年度中国发明专利申请数合计,年度中国发明专利申请数均值,年度中国发明专利申请数最大值,年度中国发明专利申请数最小值,年度中国发明专利申请数中位数,年度PCT发明专利申请数合计,年度PCT发明专利申请数均值,年度PCT发明专利申请数最大值,年度PCT发明专利申请数最小值,年度PCT发明专利申请数中位数,年度中国专利授权数合计,年度中国专利授权数均值,年度中国专利授权数最大值,年度中国专利授权数最小值,年度中国专利授权数中位数,年度中国发明专利授权数合计,年度中国发明专利授权数均值,年度中国发明专利授权数最大值,年度中国发明专利授权数最小值,年度中国发明专利授权数中位数,研发人员占比均值,研发人员占比最大值,研发人员占比最小值,研发人员占比中位数,国家科技进步奖合计,国家科技进步奖均值,国家科技进步奖最大值,国家科技进步奖最小值,国家科技进步奖中位数,国家技术发明奖合计,国家技术发明奖均值,国家技术发明奖最大值,国家技术发明奖最小值,国家技术发明奖中位数,省/部级科技进步奖合计,省/部级科技进步奖均值,省/部级科技进步奖最大值,省/部级科技进步奖最小值,省/部级科技进步奖中位数,省/部级技术发明奖合计,省/部级技术发明奖均值,省/部级技术发明奖最大值,省/部级技术发明奖最小值,省/部级技术发明奖中位数,国际行业奖项合计,国际行业奖项均值,国际行业奖项最大值,国际行业奖项最小值,国际行业奖项中位数,国家自然科学奖合计,国家自然科学奖均值,国家自然科学奖最大值,国家自然科学奖最小值,国家自然科学奖中位数,省/部级自然科学奖合计,省/部级自然科学奖均值,省/部级自然科学奖最大值,省/部级自然科学奖最小值,省/部级自然科学奖中位数,省/部级科学技术奖合计,省/部级科学技术奖均值,省/部级科学技术奖最大值,省/部级科学技术奖最小值,省/部级科学技术奖中位数,省级企业科技创新奖合计,省级企业科技创新奖均值,省级企业科技创新奖最大值,省级企业科技创新奖最小值,省级企业科技创新奖中位数,总负债合计,总负债均值,总负债最大值,总负债最小值,总负债中位数,累计所有专利被引用数合计,累计所有专利被引用数均值,累计所有专利被引用数最大值,累计所有专利被引用数最小值,累计所有专利被引用数中位数,累计核心专利被引次数合计,累计核心专利被引次数均值,累计核心专利被引次数最大值,累计核心专利被引次数最小值,累计核心专利被引次数中位数,累计中国发明专利申请数合计,累计中国发明专利申请数均值,累计中国发明专利申请数最大值,累计中国发明专利申请数最小值,累计中国发明专利申请数中位数,累计PCT发明专利申请数合计,累计PCT发明专利申请数均值,累计PCT发明专利申请数最大值,累计PCT发明专利申请数最小值,累计PCT发明专利申请数中位数,参与起草国家标准合计,参与起草国家标准均值,参与起草国家标准最大值,参与起草国家标准最小值,参与起草国家标准中位数,参与起草行业标准合计,参与起草行业标准均值,参与起草行业标准最大值,参与起草行业标准最小值,参与起草行业标准中位数
金融业,全国,297,5,64,1,2,105,7,112,1,38,174,,85,14,18,5,,88,7,35,1,,,40,1,2,1,,,,,47,24,,10,,2,1,1,,,,543832268975893,1831085080726.91,39609657845935,2863964,80994469231,4554907933924.06,15336390349.9127,361038093528,-33381475662,837989445.7,7584387,25622.9290540541,452273,2,2939,20508824715710,70235701081.1987,1221351299521,-1027290111,4952405304,518.420572390572,134285.28,0,77.43,10646575127,171718953.662258,1345003755,411100.8,39807801.16,-5.492852234,301.89,-183.35,-4.76,5238784559540.95,17639005250.9796,420378094969,-37116298626,1010930425,-203.7270608,1048.94,-29917.58,-23.215,-112.6943919,1497.38,-4184.42,-16.535,55.7864912280702,2070.55,-58.77,18.02,6.78081967213115,94.88,0.02,2.1,1.66464285714286,89.72,-38.5,0.2,658392006.5,59853818.7690909,187261241,945935.12,41493864.35,-5.207777778,44.67,-92.93,2.14,36894,683.222222222222,10822,5,242,17.9839534883721,582,-52.18,7.11,26.0008802816901,6044.61,-99.6,1.91,28327519272,124790833.798943,1364715834,510,39821504.22,249513.45,840.112626262626,16386,0.1,153,108508,627.21387283237,23981,1,30,1369,52.6538461538462,1177,1,3,18539,153.214876033058,10978,1,8,12271,103.117647058824,5015,1,7,0,0,0,0,0,31621,277.377192982456,4534,1,16,40,10,34,1,2.5,28032,254.836363636364,4140,1,15.5,40,10,34,1,2.5,7035,68.3009708737864,1085,1,9,3442,40.9761904761905,711,1,5,14.0081481481481,64.25,0.64,6.99,0,0,0,0,0,0,0,0,0,0,6,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458563864276821,1543986075006.13,36095831331341,660869.5,58711590509,266294,1718.02580645161,139528,1,85,0,0,0,0,0,88295,558.829113924051,18968,1,21,1364,52.4615384615385,1172,1,3,67,2.91304347826087,9,1,1,69,2.09090909090909,6,1,2
房地产业,全国,295,,27,1,,76,42,148,1,51,185,,59,24,17,7,2,112,34,17,1,,1,21,,,,,,,,38,3,6,12,,,,,,,,28569786513373.2,96846733943.6381,1757163116848,1729717.79,16131042096,61999748432,210168638.75261,37550973261,-23694822257,65705512,2628559,8971.19112627986,227708,8,1222,6162648684137.83,20890334522.5011,503838390573.74,3028039.91,3147341727,333.700542372881,80518.87,-86.16,64.1,13658905917,213420404.957656,2545547215,623971.77,25907304.32,12.7559661016949,3147.7,-91.63,-4.19,350229097955.16,1187217281.20393,80080947264,-23750237460,130368786,-77.03748299,682.81,-3035.66,-30.355,-153.482339,740.55,-8591.15,-36.89,18.6070175438597,543.8,-94.11,1.68,1.6025,26.8,0,0.345,0.206666666666667,9.05,-4.5,0.03,451425067.3,64489295.3257143,316382312,476966.57,15490827.04,16.9216666666667,97.59,-94.67,36.7,9725,231.547619047619,1908,7,87,33.3563636363636,802,-67.43,3.7,-6.024840989,528.65,-84.73,-6.24,10317379885,44471465.0222414,880131109.5,608,9166065,30559.22,103.590576271186,2187,0.23,27,24119,207.922413793103,5617,1,27.5,175,13.4615384615385,126,1,2,2746,36.6133333333333,1055,1,6,2640,35.6756756756757,626,1,7,0,0,0,0,0,3149,47.7121212121212,775,1,18,34,17,33,1,17,949,17.5740740740741,171,1,6.5,34,17,33,1,17,3637,53.4852941176471,863,1,16,719,14.9791666666667,400,1,2,8.44238095238095,61.49,0.26,2.945,0,0,0,0,0,0,0,0,0,0,5,2.5,3,2,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21468004266094.5,72772895817.2694,1434894926335,-16582853781,10251430707,33363,337,6946,1,63,0,0,0,0,0,8927,98.0989010989011,2816,1,17,172,13.2307692307692,123,1,2,20,1.66666666666667,4,1,1,3,1,1,1,1
信息传输、软件和信息技术服务业,全国,644,9,31,3,8,49,27,517,,275,211,17,141,226,26,12,4,178,16,7,,5,,9,2,1,,,17,,,14,12,7,96,3,6,,3,,,,18848109950318,29267251475.649,1935538557267,16795609.5,2489143739,732802222019.22,1137891649.09817,188709031875,-13689352993,23679103.12,5547873,8641.54672897196,450682,9,1029.5,10935101199458.3,16979970806.6123,1046236593774,1105234.7,1057590614,35.7106677018634,184.4,-9.1,32.01,616535246522.23,1017384895.2512,61401027752,833531,120951532.6,18.9832142857143,10054.42,-92.23,0.245,849947529940.01,1319794301.14908,161306048644,-12557941587,28229315.95,-137.1754037,5171.01,-14385.3,-16.595,-123.5648137,1908.11,-15942,-15.96,179.784857142857,99540.03,-78.3,6.48,16.9307095709571,221.6,0.03,11.82,1.98752122241087,161.69,-472,0.48,23819036162,136891012.423793,4055287084,39048,27961992.52,44.3449689440994,2829.46,-109,5.82,658591,1266.52115384615,39771,5,398,3.20540650406504,223.63,-90.03,2.365,2.11697115384615,416.95,-71.91,0.115,46033196555,80057733.1387652,11119084146,40,8723743.79,203685.87,316.774292379471,29295,0.12,52,475892,833.436077057793,42882,1,117,30613,166.375,6876,1,7,134978,252.767790262172,20650,1,27,66389,126.696564885496,4899,1,21.5,0,0,0,0,0,62137,134.787418655098,4134,1,21,2529,40.7903225806452,618,1,5,53847,120.463087248322,3787,1,14,2519,40.6290322580645,615,1,5,42455,91.3010752688172,4513,1,13,32067,73.5481651376147,4349,1,7,37.5617115384615,93.68,0.92,36.265,0,0,0,0,0,0,0,0,0,0,51,1.30769230769231,4,1,1,10,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,7,1.16666666666667,2,1,1,0,0,0,0,0,7561696485258.45,11741764728.6622,795271048873,-152184384,685013528.2,1811822,3258.6726618705,254837,1,340.5,0,0,0,0,0,392727,696.324468085106,39856,1,78,30580,166.195652173913,6870,1,7,503,4.22689075630252,26,1,2,468,7.2,98,1,2
水利、环境和公共设施管理业,全国,104,,8,,2,24,1,69,,58,10,3,33,40,10,5,1,5,,2,,2,,3,,,,,3,,,11,1,,21,,,,,,,,1002982158386.81,9644059215.25779,163581000000,301720811.7,3443631216,7804221335,75040589.7563462,4733216367,-6110904212,39172303.72,486672,4724.97087378641,77480,89,941,239420090879.19,2302116258.45375,32030997816,53482492.2,827687427.3,47.6867307692308,97.38,3.6,48.34,5230432631,60818984.0823256,364233491.3,181829.55,35693399.2,-5.000673077,308.64,-69.13,-9.25,16510530548,158755101.425481,9097395422,-5594798661,45999216.15,-197.233301,196,-5462.61,-28.49,-734.2433654,184.32,-55960.82,-29.745,23.8970588235294,1027.75,-70.08,4.12,4.31732558139535,15.72,0.1,3.8,0.499761904761905,7.75,-22,0.125,287148802.7,17946800.165625,54471445.6,91047,10094006.55,55.4575,287.26,-105,27.4,14955,184.62962962963,1419,5,108,8.1948,95.37,-83.07,2.65,-1.791764706,39.06,-63.23,-1.325,1906173291,18328589.3330769,207363155.5,32028.93,8721711.685,4760.39,45.7729807692308,290,2.42,32.5,30800,320.833333333333,1906,1,212.5,140,5,25,1,3.5,3888,44.6896551724138,544,1,21,3314,38.5348837209302,225,1,24.5,0,0,0,0,0,3446,39.6091954022989,243,1,21,5,1.25,2,1,1,1251,16.2467532467532,115,1,10,5,1.25,2,1,1,3376,38.3636363636364,202,1,24.5,596,8.3943661971831,65,1,6,14.390987654321,47.93,0.03,13.09,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0,0,0,0,0,606897753735.97,5835555324.38433,109855099841.29,16079737.74,1617686554,61686,670.5,4613,4,401.5,0,0,0,0,0,11176,122.813186813187,884,1,81,140,5,25,1,3.5,25,1.92307692307692,7,1,1,4,1,1,1,1
铁路、船舶、航空航天和其他运输设备制造业,全国,99,,42,,1,5,,51,,39,12,,48,26,3,10,,5,,7,,,,,,,,,,,,2,25,,20,,,,1,,,,2762938148623.81,27908466147.7153,442140158342,319283634.1,4795121511,70023860393,707311721.13798,14352153568,-2432715370,162154479.1,807726,8158.84848484848,157211,72,1611,1254205621952.9,12668743656.0899,222938654952,44317137,1772956737,41.4434343434343,110.3,7.54,40.8,69505941964,702080221.861717,13292402969,1724689.92,111002099.6,9.16181818181818,188.74,-87.55,6.25,78215600220,790056567.881515,15979799953,-2576752680,176764498.4,-18.4,6566.16,-2612.36,3.8,-62.52787879,1539.93,-2214.2,0.6,24.4247959183673,633.44,-47.26,12.695,9.88171717171717,308.8,0.88,6.48,2.91285714285714,263.31,-6.76,0.155,2925450565,97515018.8423333,353771542.9,287901.96,49805039.86,6.98193548387097,195.87,-103,0.91,152065,1600.68421052632,36371,11,267,16.6379569892473,326,-49.3,6.41,10.7726262626263,332.9,-37.33,1.5,8263177781,85187399.7998969,1972136793,-263022.78,16934977.2,21359.93,215.756868686869,1751,6.2,76,239867,2447.62244897959,53058,1,471.5,4537,94.5208333333333,1739,1,5,49173,512.21875,11278,3,48,33092,341.154639175258,7379,1,33,0,0,0,0,0,23965,249.635416666667,4367,1,44.5,291,13.8571428571429,119,1,3,13948,149.978494623656,2668,1,19,288,13.7142857142857,119,1,3,20516,218.255319148936,4249,2,49,8120,99.0243902439024,1999,1,11.5,21.5521052631579,55.77,4.78,19.79,0,0,0,0,0,0,0,0,0,0,52,2.88888888888889,20,1,1,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1.83333333333333,5,1,1,2,1,1,1,1,1528695118475.28,15441364833.0836,251154294973,93877021.74,2035954956,436317,4498.11340206186,92495,10,678,0,0,0,0,0,119505,1232.01030927835,26556,5,149,4536,94.5,1737,1,5,180,5.80645161290323,65,1,2,12,1.71428571428571,3,1,1
综合,全国,34,,1,,,6,6,21,,7,20,,7,4,3,,,12,5,1,,,,2,,,,,,,,1,,1,5,,,,,,,,11422748071770.4,335963178581.483,10122371910214,106759043.8,4411844294,123246212080.47,3624888590.60206,105574167248,-425630074.7,46011494.73,439485,12926.0294117647,161490,13,563.5,1008515172679.21,29662210961.1532,661824863023,38374337,657318145.3,57.7435294117647,208.55,-25.73,60.905,23722267153,1694447653.81643,15276874766,5079526.59,148481242.4,22.4108823529412,488.87,-58.08,8.46,157507000000,4632571718.54706,126882815061,-488563926.5,109522602.3,51.1305882352941,2814.07,-1356.64,17.86,-54.64970588,431.79,-2573.56,22.015,12.5216666666667,87.32,-26.11,11.09,4.00785714285714,6.46,0.4,4.3,-0.183333333,0.66,-1.36,0.015,51791896.21,17263965.4033333,37832742.86,1338687.48,12620465.87,15.8933333333333,161.2,-78.18,-35.34,3725,372.5,1550,27,165.5,-7.795555556,30.27,-87.31,1.64,2.551875,111.78,-61.44,-0.65,1452833082,48427769.3926667,788803682,744.43,3711108.37,4302.34,126.539411764706,2506,0.39,23,5422,451.833333333333,1385,8,256,61,15.25,31,4,13,878,79.8181818181818,429,4,28,668,55.6666666666667,220,3,19,0,0,0,0,0,534,59.3333333333333,157,1,32,2,2,2,2,2,181,20.1111111111111,48,1,14,2,2,2,2,2,550,61.1111111111111,181,2,36,180,25.7142857142857,134,1,6,13.264,28.04,0.97,10.795,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9829246971915.45,289095499173.984,8937927327078,-1292416793,1923263577,10971,914.25,3611,127,295.5,0,0,0,0,0,2060,171.666666666667,766,3,41.5,61,15.25,31,4,13,12,6,6,6,6,0,0,0,0,0
建筑业,全国,148,1,25,,,37,10,75,,54,40,2,52,28,20,4,1,23,6,8,,,,3,1,,,,2,,,14,13,3,22,,,,,,,,19320822555051.6,130546098344.943,2652903255775,37490464.5,6947580864,358303965420.23,2420972739.32588,69211712126,-5559706237,50761633.39,2985620,20449.4520547945,382437,10,1325.5,12683425500139,85698820946.885,2055052234125,25258539.5,2689822972,67.5087837837838,149.4,10.14,71.795,330426130285.44,2708410903.97902,49753217954,596808.66,100018104.8,6.04317567567568,688.42,-79.73,0.09,448147659669.68,3028024727.49784,86733067253,-5617801644,74448017.85,-80.1477027,858.57,-4224.64,-0.535,-147.1711486,1221.01,-10066.22,-0.62,19.0874358974359,609.49,-94.8,8.34,3.21393442622951,17,0,3.11,0.317391304347826,11.71,-11.79,0.1,790169751.4,35916806.8836364,234710698,169805.38,11067251.58,-33.96176471,104.33,-104,-41.43,286021,2698.31132075472,35029,4,282.5,2.16644230769231,193.5,-61.4,-0.695,2.16547945205479,565.94,-81.45,-0.795,12861019482,91212904.1303546,1480002376,-15202005.48,7945743.56,21506.48,145.314054054054,2400,0.15,36.5,281768,2309.5737704918,53649,8,290.5,859,19.0888888888889,165,1,5,28475,243.376068376068,5144,1,35,22022,188.222222222222,3414,1,29,0,0,0,0,0,45054,388.396551724138,9486,1,33,69,4.92857142857143,14,1,2,16808,154.201834862385,3938,1,11,69,4.92857142857143,14,1,2,39742,339.675213675214,8047,1,33,5703,60.0315789473684,1258,1,5,17.213619047619,66.03,0.46,15.7,0,0,0,0,0,0,0,0,0,0,296,12.8695652173913,63,1,5,24,2.66666666666667,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,3.14285714285714,5,1,3,3,1,1,1,1,14419989715423.4,97432362942.0501,1972516839765,6982061,4815749291,392529,3244.04132231405,67199,4,552,0,0,0,0,0,99055,811.926229508197,19690,2,91.5,859,19.0888888888889,163,1,5,259,7.84848484848485,47,1,3,54,3.375,17,1,2
非金属矿物制品业,全国,125,,16,,1,20,7,80,1,52,23,6,44,36,5,7,3,15,2,4,,1,,2,,,,,6,,,13,5,2,23,,,1,,,,,2890044790090.45,23120358320.7236,482467397787,74086714,5045992545,106539547344.57,852316378.75656,16357378111,-4419949041,177912384.4,863907,6911.256,150463,29,2457,1417326370033.4,11338610960.2672,230167764942,11749396,2687549888,42.17016,97.19,5.5,43.49,26630884637,239917879.615586,3749112327,1270563,93366754,9.54653225806452,181.98,-75.44,-1.315,117498524891.71,939988199.13368,19473620760,-4330735991,194634498.5,-87.68887097,286.69,-2190.75,-19.085,-115.4550806,421.26,-5086.23,-16.52,33.5871028037383,806.13,-60.29,12.16,3.72117117117117,11.57,0.3,3.76,0.284245283018868,5.79,-3.44,0.16,621279935.9,38829995.994375,225150763.9,1581861.7,33152992.89,53.755625,316.94,-107,22.67,65867,652.148514851485,11458,20,229,35.7085106382979,1029.9,-27.62,6.38,4.51565573770492,106.9,-73.34,-0.8,8614396221,69470937.2683871,1335416926,41127,18614804.79,14990.75,119.926,1191,0.3,56,82989,727.973684210526,8746,2,256,565,12.0212765957447,100,1,4,10390,93.6036036036036,1058,1,29,8042,73.1090909090909,874,1,23.5,0,0,0,0,0,11443,106.943925233645,1610,1,29,67,4.78571428571429,16,1,2.5,3922,41.2842105263158,467,1,12,67,4.78571428571429,16,1,2.5,10807,101,1618,1,29,2134,23.195652173913,256,1,6,12.2144554455446,37.24,1.05,11.89,0,0,0,0,0,0,0,0,0,0,19,1.58333333333333,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0,0,0,0,0,1401935800646.66,11215486405.1733,290128895553,23543196,2143235788,132967,1176.69911504425,13052,1,404,0,0,0,0,0,26742,238.767857142857,2807,1,81,567,12.063829787234,102,1,4,172,3.58333333333333,26,1,2,21,1.75,3,1,1.5
消费电子及电气业,全国,358,3,13,,2,36,30,269,5,201,62,15,80,157,20,9,12,45,12,,,1,,3,2,,1,1,12,,2,11,4,6,55,,1,3,,,,1,6018378146258.75,16811112140.3876,422555200847,1248602,2630007593,229429675195.53,640865014.512654,29810243692,-5695574263,103876189.7,3114738,8724.75630252101,236996,19,1759,5240651889524.87,14638692428.8404,511849502197,25922052.6,1653988429,85.7025698324022,16555.12,-93.48,39.365,245156000000,733998822.822455,16028154872,755165.21,102338955.9,-2.52972067,141.73,-85.62,-3.555,271381338100.19,758048430.447458,34763290354,-5319567689,110941890.1,-61.88248603,1253.8,-11881.09,-12.925,-21.29972067,3807.7,-3178.83,-13.025,10.4800600600601,119.67,-81.76,8.76,7.77502994011976,120.6,0.05,5.53,1.2841641337386,56.52,-12.06,0.53,13964814695,324763132.447209,4287428372,1992613.83,74853296.86,43.5151282051282,654.79,-104,1,433551,1416.83333333333,31619,4,306,5.88654109589041,105.64,-54.98,5.38,-3.316543909,82.28,-95.89,-2.11,31502089958,90263868.0737536,5458661621,23180,14870562.8,61089.07,171.598511235955,5008,0.16,48.5,1139203,3431.3343373494,175304,2,484,85953,401.64953271028,24907,1,10.5,217188,666.220858895706,33734,1,43,142247,437.683076923077,16455,1,35,0,0,0,0,0,132860,420.443037974684,17780,1,56.5,8686,103.404761904762,2647,1,6.5,63940,213.133333333333,8729,1,18,8686,103.404761904762,2648,1,6.5,127953,399.853125,15888,1,52.5,43780,157.482014388489,5029,1,9,19.4283660130719,85.49,1.87,15.78,0,0,0,0,0,0,0,0,0,0,29,1.61111111111111,7,1,1,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1.11111111111111,2,1,1,0,0,0,0,0,3354077377135.88,9368931221.04994,270631480233,-331226347.5,1061211391,2603520,7889.45454545455,377743,6,673,0,0,0,0,0,582534,1781.4495412844,67715,1,144,86046,405.877358490566,24961,1,11,381,5.01315789473684,50,1,2,36,2.4,7,1,1
文教、工美、体育和娱乐用品制造业,全国,39,,,,,4,2,33,,19,14,,6,15,3,,1,13,1,,,,,,,,,,,,,1,,,5,,,,,,,,126801854242.03,3251329595.94949,26004868992,67128475.71,1408739687,1272593791,32630610.0230769,2267850320,-3716924589,8324226.86,63293,1622.89743589744,7350,63,1077,143952711607.76,3691095169.42974,63010110376,84959688.43,728733818,49.1894871794872,259.36,3.3,41.54,1689653638,58263918.5468966,349275781,273700.72,27449348.94,1.91641025641026,195.82,-53,-8.47,3761786200,96456056.4082051,3017270484,-3072423100,10540505.74,-39.24794872,1396.47,-1360.68,-6.73,-199.2415789,448.17,-4062,-9.2,71.3003571428571,2220.81,-67.24,-9.875,5.76206896551724,72.81,0.02,3.7,2.32777777777778,70.28,-11.29,0.04,55885177.25,18628392.4166667,50953124.8,1287858.45,3644194,32.5933333333333,139.86,-24.74,-17.34,3981,173.086956521739,621,7,90,-4.287727273,107.84,-36.33,-10.59,6.50894736842105,569.76,-82.2,-7.715,582046368.1,16167954.6697222,137681073.9,31876.2,3360677.76,2085.4,53.4717948717949,410,0.29,23,38407,1280.23333333333,12474,5,362.5,456,50.6666666666667,201,1,4,1019,39.1923076923077,468,1,9,632,21.7931034482759,249,2,5,0,0,0,0,0,2642,101.615384615385,1017,1,33.5,19,6.33333333333333,16,1,2,205,11.3888888888889,104,1,4,19,6.33333333333333,16,1,2,3066,117.923076923077,1042,1,27,131,8.73333333333333,51,1,3,11.2569565217391,23.13,0.62,9.59,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60777734758,1558403455.33282,14023312908,27103446.76,541122862.5,15927,530.9,6907,4,170,0,0,0,0,0,2739,94.448275862069,1155,2,25,462,51.3333333333333,207,1,4,20,2.5,8,1,1.5,1,1,1,1,1
