行业,省份,企业总数,中外合资经营企业企业数量,中央国有企业企业数量,国有企业（其他）企业数量,国有企业（院所）企业数量,地方国有企业企业数量,外资企业企业数量,民营企业企业数量,集体企业企业数量,深交所企业数量,港交所企业数量,北交所企业数量,上交所企业数量,民营企业-深交所企业数量,地方国有企业-深交所企业数量,中央国有企业-深交所企业数量,外资企业-深交所企业数量,民营企业-港交所企业数量,外资企业-港交所企业数量,中央国有企业-港交所企业数量,国有企业（其他）-港交所企业数量,国有企业（院所）-深交所企业数量,集体企业-深交所企业数量,地方国有企业-港交所企业数量,中外合资经营企业-深交所企业数量,中外合资经营企业-港交所企业数量,国有企业（院所）-港交所企业数量,集体企业-港交所企业数量,民营企业-北交所企业数量,中央国有企业-北交所企业数量,地方国有企业-北交所企业数量,地方国有企业-上交所企业数量,中央国有企业-上交所企业数量,外资企业-上交所企业数量,民营企业-上交所企业数量,国有企业（其他）-上交所企业数量,中外合资经营企业-上交所企业数量,集体企业-上交所企业数量,国有企业（院所）-上交所企业数量,中外合资经营企业-北交所企业数量,外资企业-北交所企业数量,集体企业-北交所企业数量,总资产合计,总资产均值,总资产最大值,总资产最小值,总资产中位数,净利润金额合计,净利润金额均值,净利润金额最大值,净利润金额最小值,净利润金额中位数,雇员总数合计,雇员总数均值,雇员总数最大值,雇员总数最小值,雇员总数中位数,营业收入金额合计,营业收入金额均值,营业收入金额最大值,营业收入金额最小值,营业收入金额中位数,资产负债率均值,资产负债率最大值,资产负债率最小值,资产负债率中位数,研发投入金额合计,研发投入金额均值,研发投入金额最大值,研发投入金额最小值,研发投入金额中位数,营业收入同比增减幅均值,营业收入同比增减幅最大值,营业收入同比增减幅最小值,营业收入同比增减幅中位数,营业利润金额合计,营业利润金额均值,营业利润金额最大值,营业利润金额最小值,营业利润金额中位数,营业利润同比增减幅均值,营业利润同比增减幅最大值,营业利润同比增减幅最小值,营业利润同比增减幅中位数,净利润同比增减幅均值,净利润同比增减幅最大值,净利润同比增减幅最小值,净利润同比增减幅中位数,研发投入同比增减幅均值,研发投入同比增减幅最大值,研发投入同比增减幅最小值,研发投入同比增减幅中位数,研发投入占比均值,研发投入占比最大值,研发投入占比最小值,研发投入占比中位数,研发投入占比增减幅均值,研发投入占比增减幅最大值,研发投入占比增减幅最小值,研发投入占比增减幅中位数,资本化研发投入合计,资本化研发投入均值,资本化研发投入最大值,资本化研发投入最小值,资本化研发投入中位数,资本化研发投入同比增减幅均值,资本化研发投入同比增减幅最大值,资本化研发投入同比增减幅最小值,资本化研发投入同比增减幅中位数,研发人员数量合计,研发人员数量均值,研发人员数量最大值,研发人员数量最小值,研发人员数量中位数,研发人员同比增减幅均值,研发人员同比增减幅最大值,研发人员同比增减幅最小值,研发人员同比增减幅中位数,雇员同比增减幅均值,雇员同比增减幅最大值,雇员同比增减幅最小值,雇员同比增减幅中位数,政府奖励资金、补贴合计,政府奖励资金、补贴均值,政府奖励资金、补贴最大值,政府奖励资金、补贴最小值,政府奖励资金、补贴中位数,公司市值合计,公司市值均值,公司市值最大值,公司市值最小值,公司市值中位数,累计中国专利申请数合计,累计中国专利申请数均值,累计中国专利申请数最大值,累计中国专利申请数最小值,累计中国专利申请数中位数,累计PCT专利申请数合计,累计PCT专利申请数均值,累计PCT专利申请数最大值,累计PCT专利申请数最小值,累计PCT专利申请数中位数,累计中国发明专利授权数合计,累计中国发明专利授权数均值,累计中国发明专利授权数最大值,累计中国发明专利授权数最小值,累计中国发明专利授权数中位数,累计中国发明专利失效数合计,累计中国发明专利失效数均值,累计中国发明专利失效数最大值,累计中国发明专利失效数最小值,累计中国发明专利失效数中位数,累计PCT发明专利失效数合计,累计PCT发明专利失效数均值,累计PCT发明专利失效数最大值,累计PCT发明专利失效数最小值,累计PCT发明专利失效数中位数,年度中国专利申请数合计,年度中国专利申请数均值,年度中国专利申请数最大值,年度中国专利申请数最小值,年度中国专利申请数中位数,年度PCT专利申请数合计,年度PCT专利申请数均值,年度PCT专利申请数最大值,年度PCT专利申请数最小值,年度PCT专利申请数中位数,年度中国发明专利申请数合计,年度中国发明专利申请数均值,年度中国发明专利申请数最大值,年度中国发明专利申请数最小值,年度中国发明专利申请数中位数,年度PCT发明专利申请数合计,年度PCT发明专利申请数均值,年度PCT发明专利申请数最大值,年度PCT发明专利申请数最小值,年度PCT发明专利申请数中位数,年度中国专利授权数合计,年度中国专利授权数均值,年度中国专利授权数最大值,年度中国专利授权数最小值,年度中国专利授权数中位数,年度中国发明专利授权数合计,年度中国发明专利授权数均值,年度中国发明专利授权数最大值,年度中国发明专利授权数最小值,年度中国发明专利授权数中位数,研发人员占比均值,研发人员占比最大值,研发人员占比最小值,研发人员占比中位数,国家科技进步奖合计,国家科技进步奖均值,国家科技进步奖最大值,国家科技进步奖最小值,国家科技进步奖中位数,国家技术发明奖合计,国家技术发明奖均值,国家技术发明奖最大值,国家技术发明奖最小值,国家技术发明奖中位数,省/部级科技进步奖合计,省/部级科技进步奖均值,省/部级科技进步奖最大值,省/部级科技进步奖最小值,省/部级科技进步奖中位数,省/部级技术发明奖合计,省/部级技术发明奖均值,省/部级技术发明奖最大值,省/部级技术发明奖最小值,省/部级技术发明奖中位数,国际行业奖项合计,国际行业奖项均值,国际行业奖项最大值,国际行业奖项最小值,国际行业奖项中位数,国家自然科学奖合计,国家自然科学奖均值,国家自然科学奖最大值,国家自然科学奖最小值,国家自然科学奖中位数,省/部级自然科学奖合计,省/部级自然科学奖均值,省/部级自然科学奖最大值,省/部级自然科学奖最小值,省/部级自然科学奖中位数,省/部级科学技术奖合计,省/部级科学技术奖均值,省/部级科学技术奖最大值,省/部级科学技术奖最小值,省/部级科学技术奖中位数,省级企业科技创新奖合计,省级企业科技创新奖均值,省级企业科技创新奖最大值,省级企业科技创新奖最小值,省级企业科技创新奖中位数,总负债合计,总负债均值,总负债最大值,总负债最小值,总负债中位数,累计所有专利被引用数合计,累计所有专利被引用数均值,累计所有专利被引用数最大值,累计所有专利被引用数最小值,累计所有专利被引用数中位数,累计核心专利被引次数合计,累计核心专利被引次数均值,累计核心专利被引次数最大值,累计核心专利被引次数最小值,累计核心专利被引次数中位数,累计中国发明专利申请数合计,累计中国发明专利申请数均值,累计中国发明专利申请数最大值,累计中国发明专利申请数最小值,累计中国发明专利申请数中位数,累计PCT发明专利申请数合计,累计PCT发明专利申请数均值,累计PCT发明专利申请数最大值,累计PCT发明专利申请数最小值,累计PCT发明专利申请数中位数,参与起草国家标准合计,参与起草国家标准均值,参与起草国家标准最大值,参与起草国家标准最小值,参与起草国家标准中位数,参与起草行业标准合计,参与起草行业标准均值,参与起草行业标准最大值,参与起草行业标准最小值,参与起草行业标准中位数
医药制造业,广东省,51,1,2,,,4,3,41,,24,19,1,7,20,2,1,1,15,1,1,,,,1,,1,,,1,,,1,,1,5,,,,,,,,551778439965.97,10819185097.372,74665261323,35785754,4098441374,32602813961,639270861.983333,5427559651,-2694311022,121127912.5,217090,4256.66666666667,24221,77,1899,332137693420.58,6642753868.4116,70788132286,25330914,1725250683,33.3750980392157,69.86,-37.12,35.37,19689690752,418929590.47234,1758669649,2483489,256270791.9,17.4366,275.25,-67.92,9.935,41078210715,805455112.1,6329253782,-1777534688,138162326,9.54411764705882,905.98,-1042.35,6.06,30.4723529411765,2879.06,-1415.18,10.79,24.896170212766,171.45,-23.06,15.04,17.304347826087,155.9,0.62,7.525,-4.654130435,70.44,-332.7,0.295,3541250110,147552087.899167,605202666,1463030.86,102025050.8,230.151904761905,2303.96,-72.95,19.1,18232,467.48717948718,1714,45,339,4.68257142857143,47.23,-66.5,6.89,7.51901960784314,44.75,-59.1,6.68,3170681790,64707791.6418367,480559233,3145,19950203.21,6718.4,131.733333333333,608,0.74,86,17352,377.217391304348,2179,19,173.5,751,20.8611111111111,110,1,11.5,4571,99.3695652173913,557,4,47,2981,64.804347826087,335,2,29,0,0,0,0,0,1493,37.325,198,1,17,117,5.85,18,1,4,764,20.6486486486486,94,1,11,117,5.85,18,1,4,1394,32.4186046511628,189,1,11,572,13.6190476190476,76,1,6,16.7848717948718,34.18,2,16.76,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.28062E+11,4471803403.28039,41027403823,-17536238.2,1453374478,38514,837.260869565217,3508,41,437,0,0,0,0,0,9362,203.521739130435,1028,7,99.5,758,21.0555555555556,117,1,11.5,13,1.85714285714286,4,1,1,0,0,0,0,0
化学原料和化学制品制造业,广东省,41,1,,,,2,3,35,,24,9,2,6,20,2,,1,7,2,,,,,,1,,,,2,,,,,,6,,,,,,,,176926240169.03,4315274150.46415,25530971665,244224133,2389787103,10701596812,261014556.396098,5844040773,-1238701362,57800080.03,60157,1467.24390243902,9026,94,979,101800752670.91,2482945187.09537,22316919996,117356612,1350730257,44.1624390243902,166.3,8.53,43.12,3666153616,94003938.8635897,893924512.9,7065989,52925118.77,17.9456097560976,318.15,-69.63,-2.98,11690448652,285132893.943415,6871671152,-1178378733,56962800.97,23.0212195121951,1908.41,-716.23,-10.2,-24.52853659,169.17,-751.76,-5.02,19.7766666666667,193.88,-59.81,9.28,4.59564102564102,15.94,1.34,4.04,-1.108157895,4.5,-54.61,0.235,94675831.17,15779305.2,48147354.75,1971856.1,10472312.81,62.576,406.03,-83.23,-23.82,6043,188.84375,827,20,133,10.9171428571429,78,-54.24,6.625,11.4039024390244,185.83,-56.46,4.9,480488994.4,12012224.86,71305330.2,63765.48,6786308.11,3346.18,81.6141463414634,796,0.83,39,11270,288.974358974359,1316,8,224,272,15.1111111111111,148,1,3.5,2736,72,343,3,42,2625,69.0789473684211,600,1,29.5,0,0,0,0,0,1206,34.4571428571429,191,1,21,34,11.3333333333333,30,1,3,650,20.9677419354839,94,1,10,34,11.3333333333333,30,1,3,809,22.4722222222222,105,1,18,310,10,39,1,5,15.36375,37.76,5.88,13.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71340521738,1740012725.32171,12693267998,69673783.7,838632123.6,36295,955.131578947368,4904,37,480.5,0,0,0,0,0,6791,178.710526315789,947,6,106,271,15.0555555555556,147,1,3.5,23,2.09090909090909,5,1,1,8,2,4,1,1.5
食品饮料业,广东省,27,,2,,,5,1,19,,15,5,1,6,11,3,1,,3,1,1,,,,,,,,,1,,,2,,,4,,,,,,,,245516772393.33,9093213792.34555,44470390850,251985537.2,5846690969,16837224137,623600893.945556,6203168417,-554569858.7,143582380.8,123338,4568.07407407407,36085,81,2913,243363346085.41,9013457262.42259,104715469233.98,154066540.8,4112348854,37.73,84.85,5.2,35.44,3343649197,139318716.560417,751337521.4,1203220.45,76778839,19.0485185185185,320.53,-25.8,5.77,22160360343,820754086.778148,7352286492,-516517777,177539253.1,8.34333333333333,404.26,-285.12,-2.57,10.8403703703704,376.99,-300.05,-0.6,11.9954166666667,168.04,-57.4,7.545,2.74041666666667,16.39,0.06,2.205,0.312608695652174,6.95,-0.68,-0.06,7847056.65,3923528.325,5081999.5,2765057.15,3923528.325,-29.07,6.96,-65.1,-29.07,8610,410,3386,3,280,10.566,50.88,-25,7.97,8.93925925925926,246.5,-53.19,3,821456137.1,30424301.3722222,144182135.5,655840.4,17452025.39,6195.73,229.471481481482,2601,4.72,62,8626,345.04,2355,6,218,44,7.33333333333333,16,1,5.5,1187,51.6086956521739,349,1,19,958,39.9166666666667,265,1,15.5,0,0,0,0,0,976,40.6666666666667,370,1,17,3,3,3,3,3,475,27.9411764705882,252,1,8,3,3,3,3,3,781,31.24,211,1,16,173,11.5333333333333,74,1,7,9.73476190476191,37.08,0.18,8.58,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112498907772.49,4166626213.79593,25110559551,18927925.72,2174113668,13819,575.791666666667,3243,13,253.5,0,0,0,0,0,3278,136.583333333333,1009,5,50,44,7.33333333333333,16,1,5.5,7,1.75,4,1,1,0,0,0,0,0
专用设备制造业,广东省,80,,2,,,6,7,65,,51,14,1,14,42,5,1,3,10,3,,,,,1,,,,,1,,,,1,1,12,,,,,,,,3.64435E+11,4555441194.9575,46745268521,167218929.5,2371506611,26113107914,326413848.92675,9610718461,-1371767624,120476359.4,201718,2521.475,18352,44,1508,193831414372.47,2422892679.65588,30365624245,65582523.5,1183673361,36.18025,93.99,2.65,35.565,14960008422,196842216.085263,3190973748,5232928.75,85430395.55,12.426875,356.34,-65.65,5.795,27691506071,346143825.884625,10990571944,-1524711796,138162034.4,-637.98875,296.71,-48361.76,0.415,-208.624125,539.4,-13720.81,1.41,20.9253947368421,295.83,-42.43,13.79,9.16157894736842,28.47,1.51,7.615,0.929733333333333,7.94,-6.35,0.57,442473986.1,40224907.8236364,268351431,2590817,7382081.47,-22.19272727,184.83,-109,-39.21,38441,573.746268656716,6529,3,300,11.497619047619,177.48,-78.59,9.49,9.30282051282051,80.2,-34.8,5.685,1962708556,24844412.0964557,151561243,395610.26,13846018.94,9445.66,118.07075,3632,0.28,46.5,58294,767.026315789474,10345,1,397,2355,46.1764705882353,1136,1,8,8117,109.689189189189,1624,1,44.5,4352,58.8108108108108,1038,1,26,0,0,0,0,0,7184,101.183098591549,1065,1,55,141,7.83333333333333,41,1,2.5,2046,29.2285714285714,228,1,14,141,7.83333333333333,41,1,2.5,7162,100.87323943662,1376,3,49,1289,19.8307692307692,264,1,8,21.3870149253731,40.09,6.34,20.8,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155158804687.28,1939485059,16536351945,33662569.5,870660956.8,126114,1659.39473684211,26674,13,701,0,0,0,0,0,21948,292.64,4172,1,124,2344,45.9607843137255,1133,1,8,81,6.23076923076923,51,1,2,6,3,3,3,3
信息传输、软件和信息技术服务业,广东省,125,4,3,,,9,8,101,,63,44,1,17,49,8,3,3,38,5,,,,,,,1,,,1,,,1,,,13,,3,,,,,,2262247330030.01,18097978640.2401,1578131781573.0,94163102,1964486388,195910779228.16,1567286233.82528,1.88709E+11,-2589913425,22256445.42,361555,2915.76612903226,108411,10,860,963596138481.57,7708769107.85256,5.54552E+11,25361462.5,832507993,35.83088,112.22,-9.1,32.01,95343037042,787958983.819587,61401027752,1116399.17,83703701.55,-3.6332,304.82,-83.04,-3.36,119852759759.58,958822078.07664,1.10827E+11,-2391962636,20472768.18,-169.77792,1126.3,-14385.3,-12.52,-40.66408,1908.11,-1562.96,-9.27,12.2295041322314,293.52,-77.54,4.76,17.3930578512397,221.6,1.16,10.88,3.47107438016529,151.82,-19.11,0.44,1898661722,63288724.0573333,480506743,330709.69,23109566.46,59.9068,1220.3,-109,1.01,73141,746.336734693878,5572,5,307,-0.857291667,72.52,-88,0.455,0.757666666666666,174,-70.66,-0.385,12843635178,111683784.155391,11119084146,140033,8103571.11,38747.03,309.97624,29295,0.12,40,84637,762.495495495495,42882,1,112,9378,203.869565217391,6876,1,4.5,28804,271.735849056604,20650,1,27.5,9683,94.9313725490196,3470,1,20,0,0,0,0,0,7198,83.6976744186046,2104,1,17,645,58.6363636363636,618,1,1,5722,71.525,1903,1,13,642,58.3636363636364,615,1,1,8116,86.3404255319149,4513,1,13.5,6477,72.7752808988764,4349,1,7,39.1725510204082,83.16,3.78,38.52,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1071017915736.88,8568143325.89504,7.95271E+11,-152184384,511988341.9,393470,3577,254837,2,304,0,0,0,0,0,70596,636,39856,1,74,9363,203.54347826087,6870,1,4.5,72,4.5,25,1,2.5,35,3.5,14,1,1.5
电力、热力、燃气及水生产和供应业,广东省,25,,4,,,10,1,10,,12,10,,3,4,7,1,,5,1,3,,,,1,,,,,,,,2,,,1,,,,,,,,1732230472275.23,69289218891.0092,4.09016E+11,331309536,20096353329,47138266686,1885530667.4292,15242705267,-4488129051,208487632.3,187718,7508.72,56121,69,4405,586531825370.98,23461273014.8392,88661586886,256740834,7077688490,54.5032,78.5,14.02,57.17,9227798491,576737405.70375,3852534248,7050753,123655563.4,17.8924,117.85,-21.69,18.17,64642939818,2585717593,18845559006,-4062682791,411021665.9,-8.1552,498.94,-784.4,2.9,45.8272,1241.96,-308.52,-2.89,27.259375,119.2,-25.25,8.485,2.126875,4.6,0.62,1.955,0.221875,1.89,-0.9,-0.005,2152254627,1076127313,1982740987,169513639.7,1076127313,-32.4575,53.47,-108,-37.65,13890,992.142857142857,4748,55,288.5,-6.996428571,31.62,-65.58,-0.825,0.4248,19.73,-31.21,2.72,1696188494,70674520.5958333,615026309.5,290092,24022401.32,5820.85,232.834,1417,1.1,104,23161,1052.77272727273,6719,4,366,536,89.3333333333333,209,2,57,3341,167.05,1339,1,28.5,1995,95,637,1,12,0,0,0,0,0,3440,181.052631578947,1078,2,33,76,19,36,1,19.5,1923,106.833333333333,755,1,14,76,19,36,1,19.5,2627,125.095238095238,739,2,33,734,52.4285714285714,309,1,12,14.9785714285714,24.92,2.47,15.925,0,0,0,0,0,0,0,0,0,0,7,1.75,3,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1065436711924.81,42617468476.9924,251085674168.77,260244935,9536175541,30484,1385.63636363636,8407,6,373,0,0,0,0,0,11019,524.714285714286,4203,2,46,520,86.6666666666667,204,2,53.5,50,5.55555555555556,35,1,1,1,1,1,1,1
商业电气机械和器材制造业,广东省,62,,1,,,3,3,55,,40,12,3,7,37,2,,1,9,2,1,,,,,,,,,3,,,1,,,6,,,,,,,,528645822066.44,8526545517.20064,83637831017,53166146,3630679862,22289836986,359513499.767419,4324499950,-460147800.2,91217633.95,280305,4521.04838709677,44893,27,1965.5,339990833745.88,5483723124.93355,52162277037,27441522.5,2354416303,47.7101612903226,94.43,3.78,51.355,17381149432,294595753.082712,2741807773,2582590.21,117344941,24.6701612903226,369.83,-54.46,11.03,23951899008,386320951.749839,4469635715,-468017889.4,105262347.8,-89.66935484,1030.52,-5411.16,2.025,-53.54903226,500.74,-3287.79,2.315,34.2606896551724,297.8,-26.6,20.36,6.0728813559322,15.56,0.57,5.07,0.386315789473684,7.37,-2.23,0.1,233452196.5,25939132.9488889,107816674.9,4000452,15224775.32,-12.645,56.69,-72.67,-6.665,41746,818.549019607843,8361,31,381,13.1240816326531,159.24,-72.63,7.43,10.2367741935484,104.23,-73.66,3.48,2749633699,45827228.3083333,1021112391,247101,13175818.88,7350.81,118.561451612903,1701,0.44,42.5,66966,1217.56363636364,19112,19,600,1364,34.974358974359,350,1,8,12420,225.818181818182,7075,1,46,17232,325.132075471698,13330,2,49,0,0,0,0,0,8371,160.980769230769,2161,4,74,195,19.5,84,1,12.5,2907,57,675,1,22,195,19.5,84,1,12.5,6624,122.666666666667,1234,1,61,1039,20.78,157,1,7,17.0664705882353,38.88,3.3,15.26,0,0,0,0,0,0,0,0,0,0,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0,0,0,0,0,300489030257.75,4846597262.22177,50477604303,4825792.78,1731659771,142945,2599,50984,48,1027,0,0,0,0,0,34174,621.345454545455,17747,4,154,1370,35.1282051282051,356,1,8,69,3.28571428571429,14,1,2,23,2.55555555555556,6,1,2
批发和零售业,广东省,43,2,3,,,6,7,24,1,23,18,,2,10,5,3,2,12,5,,,,1,1,2,,,,,,,,,,2,,,,,,,,470933492615.69,10951941688.737,74959912958,31111977.5,4117144108,13345692560,310364943.245116,4711369599,-992137534.2,81319540.81,223904,5207.06976744186,39470,33,2255,619810113028.43,14414188675.0798,1.1588E+11,38354891.2,3970535358,48.1667441860465,97.79,5.4,45.03,1362889372,54515574.87,291155690.6,281028,20171652,6.46883720930233,396.54,-51.29,-3.48,19843369772,461473715.626744,6390951709,-854586000.9,99124880.7,-39.75837209,203.71,-499.82,-24.57,-1170.085581,310.77,-48331.04,-21.99,6.50047619047619,95.08,-88.99,13.27,0.9332,6.9,0,0.44,0.048,1.33,-1.7,0.035,78994732.54,19748683.14,29209910.11,13646262.08,18069280.18,2.735,41.84,-44.83,6.965,4055,184.318181818182,796,2,137,9.40111111111111,196.34,-103,2.735,-1.090232558,60.8,-65.21,-0.21,782228418.7,19555710.47,173705478,51013,6891616.21,4403.81,102.414186046512,1293,0.43,48,3984,159.36,1026,2,71,103,17.1666666666667,64,2,8,496,26.1052631578947,132,1,10,401,26.7333333333333,95,1,17,0,0,0,0,0,440,27.5,101,1,16.5,1,1,1,1,1,97,6.92857142857143,26,1,5,1,1,1,1,1,463,30.8666666666667,109,3,18,43,3.90909090909091,9,1,4,8.04636363636364,32.01,0.11,5.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286003128590.55,6651235548.61744,46328994242,6145375.29,1783176276,7217,300.708333333333,1566,2,69.5,0,0,0,0,0,1188,59.4,222,2,26,103,17.1666666666667,64,2,8,7,1.75,3,1,1.5,1,1,1,1,1
金融业,广东省,38,2,8,1,,8,1,18,,8,26,,4,3,4,1,,15,1,4,1,,,4,,1,,,,,,,3,,,,1,,,,,,56687952104015.3,1491788213263.56,11137168884837.0,55705646,84697881374,649826689468.71,17100702354.4397,1.39294E+11,-447369177.8,869783618.2,1185457,31196.2368421053,344260,26,3012.5,3714224320179.69,97742745267.8866,1221351299521.0,29501939,7110381103,68.9013157894737,92.82,11.98,75.145,1744994709,218124338.7,1048844052,760473,12881258.13,1.09421052631579,287.29,-75.45,-5.53,731178404800.26,19241536968.4279,1.65156E+11,-578007059.4,1055429834,-62.28842105,276.9,-460.18,-31.845,-64.01945946,136.45,-677.48,-26.15,11.22875,67.89,-52.57,12.795,4.27625,16.02,0.02,1.985,0.795,4.7,-0.74,0.045,0,0,0,0,0,0,0,0,0,13520,2704,10822,85,603,-12.5725,8,-39.38,-9.455,1.11918918918919,50,-37.1,1.59,5083925377,203357015.1,1364715834,10381,62453280.61,47659.9,1254.20789473684,8412,0.26,208,5747,229.88,2890,1,36,23,2.55555555555556,7,1,2,398,26.5333333333333,88,1,11,582,29.1,187,1,18,0,0,0,0,0,2551,150.058823529412,2023,1,17,2,2,2,2,2,2336,146,1904,1,17,2,2,2,2,2,270,16.875,155,1,9,101,8.41666666666667,62,1,4,23.694,64.25,7.01,15.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50494361130762.6,1328798977125.33,9961870823227.0,40212322,67683216413.905,6991,332.904761904762,1338,1,209,0,0,0,0,0,4467,194.217391304348,2690,1,20,23,2.55555555555556,7,1,2,11,5.5,6,5,5.5,13,1.85714285714286,3,1,2
汽车制造业,广东省,27,2,,,,4,1,20,,15,9,,3,12,2,,,6,1,,,,,1,1,1,,,,,,1,,,2,,,,,,,,1625248014621.61,60194370911.9115,4.93861E+11,804278791.5,3964132277,42132273721,1560454582.27185,17713197982,-9138979148,78418185.65,1464092,54225.6296296296,570173,144,5830,1240718516293.31,45952537640.493,4.24061E+11,477110153.1,2882869348,52.5474074074074,139.3,15.22,48.39,67621151297,2504487085.06704,20223281761,12784869.43,187296404.6,24.5692592592593,105.65,-19.18,18.03,36596548442,1355427720.08222,21541895137,-8705529354,73105847.79,-33.89518519,375.8,-1003.1,22.12,-63.9962963,348.44,-2016.13,12.76,32.6544444444444,253.4,-46.93,26.77,6.87259259259259,19.45,1.21,5.33,-0.198148148,2.59,-8.21,-0.13,12086483163,1510810395.37375,5107009357,14945517.34,122300290.1,64.8488888888889,450.3,-102,18.6,107333,4666.65217391304,69609,18,624,13.3269565217391,72.53,-57.16,12.61,10.8596296296296,97.85,-65.58,3.28,5942454387,228555937.946538,1710496238,814912.69,22346203.97,19360.43,717.052962962963,7211,1.12,56,109835,4224.42307692308,28390,23,755.5,5930,329.444444444444,2468,1,15,21312,852.48,7848,5,63,10487,403.346153846154,3121,3,31,0,0,0,0,0,11398,474.916666666667,2588,3,98.5,446,89.2,194,1,29,2751,125.045454545455,893,1,39,443,88.6,193,1,29,13476,518.307692307692,3427,3,79,4012,174.434782608696,1377,1,25,20.1552173913043,52.04,5.13,13.29,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1015519402575.23,37611829725.0085,3.72471E+11,122904312.5,2780874751,311879,11995.3461538462,113557,66,886,0,0,0,0,0,46170,1775.76923076923,13391,18,207,5918,328.777777777778,2468,1,15,52,7.42857142857143,22,1,4,4,2,3,1,2
